шлункова фаза соковиділення забезпечується не лише за рахунок нервової системи .	шлунковий фаза соковиділення забезпечуватися не лише за рахунок нервовий система .	ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG GEN;INAN;N;NEUT;SG 3;FIN;IND;IPFV;PRS;SG;V NEG;PART PART ACC;ADP ACC;INAN;MASC;N;SG ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG _
присвоїти військове звання контр - адмірала капітану 1 рангу неїжпапі олексію леонідовичу – заступнику командувача військово - морських сил збройних сил україни з бойової підготовки – начальнику управління бойової підготовки командування військово - морських сил збройних сил україни .	присвоїти військовий звання контровий - адмірал капітан 1 ранг неїжпапа олексій леонідович – заступник командувач військовий - морський сила збройний сила україна з бойовий підготовка – начальник управління бойовий підготовка командування військовий - морський сила збройний сила україна .	NFIN;PFV;V ACC;ADJ;NEUT;SG ACC;INAN;N;NEUT;SG ADJ _ ANIM;GEN;MASC;N;SG ANIM;DAT;MASC;N;SG ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG ANIM;DAT;MASC;PROPN;SG ANIM;DAT;MASC;PROPN;SG ANIM;DAT;MASC;PROPN;SG _ ANIM;DAT;MASC;N;SG ANIM;GEN;MASC;N;SG ADJ _ ADJ;GEN;PL FEM;GEN;INAN;N;PL ADJ;GEN;PL FEM;GEN;INAN;N;PL FEM;GEN;INAN;PROPN;SG ADP;GEN ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG _ ANIM;DAT;MASC;N;SG GEN;INAN;N;NEUT;SG ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG GEN;INAN;N;NEUT;SG ADJ _ ADJ;GEN;PL FEM;GEN;INAN;N;PL ADJ;GEN;PL FEM;GEN;INAN;N;PL FEM;GEN;INAN;PROPN;SG _
влаштуй всесвітній комунізм .	влаштувати всесвітній комунізм .	2;FIN;IMP;PFV;SG;V ACC;ADJ;INAN;MASC;SG ACC;INAN;MASC;N;SG _
за почином упа об'єдналися всі українські самостійницькі партії і створили українську головну визвольну раду , що від 1944 р . керує в краю і закордоном цілістю боротьби за українську самостійну соборну державу .	за почин упа об’єднатися весь український самостійницький партія і створити український головний визвольний рада , що від 1944 р. . керувати в край і закордон цілість боротьба за український самостійний соборний держава .	ADP;INS INAN;INS;MASC;N;SG FEM;GEN;INAN;N;SG FIN;IND;PFV;PL;PST;V DET;NOM;PL ADJ;NOM;PL ADJ;NOM;PL FEM;INAN;N;NOM;PL CONJ FIN;IND;PFV;PL;PST;V ACC;ADJ;FEM;SG ACC;ADJ;FEM;SG ACC;ADJ;FEM;SG ACC;FEM;INAN;N;SG _ CONJ ADP;GEN ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG _ 3;FIN;IND;IPFV;PRS;SG;V ADP;ESS ESS;INAN;MASC;N;SG CONJ INAN;INS;MASC;N;SG FEM;INAN;INS;N;SG FEM;GEN;INAN;N;SG ACC;ADP ACC;ADJ;FEM;SG ACC;ADJ;FEM;SG ACC;ADJ;FEM;SG ACC;FEM;INAN;N;SG _
за розвідданими дудаєв часто користувався супутниковим телефоном « інмарсат » , подарованим нібито американцями .	за розвіддані дудаєв часто користуватися супутниковий телефон « інмарсат » , подарований нібито американець .	ADP;INS INAN;INS;N ANIM;MASC;NOM;PROPN;SG ADV FIN;IND;IPFV;MASC;PST;SG;V ADJ;INS;MASC;SG INAN;INS;MASC;N;SG _ INAN;MASC;NOM;PROPN;SG _ _ ADJ;INS;MASC;PASS;PFV;SG;V.PTCP PART ANIM;INS;MASC;N;PL _
у рамках фестивалю передбачено створення молодіжного симфонічного оркестру україни , який у серпні й вересні 2017 року має поїхати у перші гастролі україною ( львів - київ - одеса - харків ) та німеччиною ( бонн , берлін ) разом з федеративним молодіжним оркестром німеччини і матиме змогу практикуватися під керівництвом доцентів з берлінського філармонічного оркестру .	у рамка фестиваль передбачити створення молодіжний симфонічний оркестр україна , який у серпень й вересень 2017 рік мати поїхати у перший гастроль україна ( львів - київ - одеса - харків ) та німеччина ( бонн , берлін ) разом з федеративний молодіжний оркестр німеччина і мати змога практикуватися під керівництво доцент з берлінський філармонічний оркестр .	ADP;ESS ESS;FEM;INAN;N;PL GEN;INAN;MASC;N;SG 0;FIN;IND;PFV;V ACC;INAN;N;NEUT;SG ADJ;GEN;MASC;SG ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG FEM;GEN;INAN;PROPN;SG _ DET;MASC;NOM;SG ADP;ESS ESS;INAN;MASC;N;SG CONJ ESS;INAN;MASC;N;SG ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG 3;FIN;IND;IPFV;PRS;SG;V NFIN;PFV;V ACC;ADP ACC;ADJ;INAN;PL ACC;FEM;INAN;N;PL FEM;INAN;INS;PROPN;SG _ INAN;MASC;NOM;PROPN;SG _ INAN;MASC;NOM;PROPN;SG _ FEM;INAN;NOM;PROPN;SG _ INAN;MASC;NOM;PROPN;SG _ CONJ FEM;INAN;INS;PROPN;SG _ INAN;MASC;NOM;PROPN;SG _ INAN;MASC;NOM;PROPN;SG _ ADV ADP;INS ADJ;INS;MASC;SG ADJ;INS;MASC;SG INAN;INS;MASC;N;SG FEM;GEN;INAN;PROPN;SG CONJ 3;FIN;FUT;IND;IPFV;SG;V ACC;FEM;INAN;N;SG IPFV;NFIN;V ADP;INS INAN;INS;N;NEUT;SG ANIM;GEN;MASC;N;PL ADP;GEN ADJ;GEN;MASC;SG ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG _
алгоритм д . хаффмана та алгоритм шеннона — фано передбачають перекодування даних .	алгоритм д. . хаффман та алгоритм шеннон — фано передбачати перекодування дані .	INAN;MASC;N;NOM;SG ANIM;GEN;MASC;PROPN;SG _ ANIM;GEN;MASC;PROPN;SG CONJ INAN;MASC;N;NOM;SG ANIM;GEN;MASC;PROPN;SG _ ANIM;GEN;MASC;PROPN;SG 3;FIN;IND;IPFV;PL;PRS;V ACC;INAN;N;NEUT;SG GEN;INAN;N _
нічого не вимагаючи , засукали рукави і почали скрізь і всім допомагати " .	ніщо не вимагати , засукати рукав і почати скрізь і весь допомагати " .	GEN;INAN;PRO NEG;PART IPFV;PRS;V;V.CVB _ FIN;IND;PFV;PL;PST;V ACC;INAN;MASC;N;PL CONJ FIN;IND;PFV;PL;PST;V ADV CONJ DAT;DET;PL IPFV;NFIN;V _ _
2 .	2 .	MASC;NOM;NUM _
“ я не любився ні з ким ще зроду , – щиро зізнається він мавці .	“ я не любитися ні з хто ще зроду , – щиро зізнаватися він мавка .	_ 1;ANIM;NOM;PRO;SG NEG;PART FIN;IND;IPFV;MASC;PST;SG;V NEG;PART ADP;INS ANIM;INS;MASC;PRO;SG ADV ADV _ _ ADV 3;FIN;IND;IPFV;PRS;SG;V 3;MASC;NOM;PRO;SG ANIM;DAT;FEM;PROPN;SG _
згодом треба показати свою жіночу слабкість , щоб пробудити у слухача співчуття .	згодом треба показати свій жіночий слабкість , щоб пробудити у слухач співчуття .	ADV ADV NFIN;PFV;V ACC;DET;FEM;REFL;SG ACC;ADJ;FEM;SG ACC;FEM;INAN;N;SG _ CONJ NFIN;PFV;V ADP;GEN ANIM;GEN;MASC;N;SG ACC;INAN;N;NEUT;SG _
діафрагма вінстона стислася .	діафрагма вінстон стиснутися .	FEM;INAN;N;NOM;SG ANIM;GEN;MASC;PROPN;SG FEM;FIN;IND;PFV;PST;SG;V _
саме в такій редакції ( просто підтримати , без подальших наслідків та дій ) радив поставити на голосування питання член земельної комісії вадим андрієвський .	саме в такий редакція ( просто підтримати , без подальший наслідок та дія ) радити поставити на голосування питання член земельний комісія вадим андрієвський .	ADV ADP;ESS DET;ESS;FEM;SG ESS;FEM;INAN;N;SG _ ADV NFIN;PFV;V _ ADP;GEN ADJ;GEN;PL GEN;INAN;MASC;N;PL CONJ FEM;GEN;INAN;N;PL _ FIN;IND;IPFV;MASC;PST;SG;V NFIN;PFV;V ACC;ADP ACC;INAN;N;NEUT;SG ACC;INAN;N;NEUT;SG ANIM;MASC;N;NOM;SG ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG _
депутат верховної ради урср 3 - 4-го скликань .	депутат верховний рада урср 3 - 4-ий скликання .	ANIM;MASC;N;NOM;SG ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG FEM;GEN;INAN;PROPN;SG ADJ;GEN;NEUT;SG _ ADJ;GEN;NEUT;SG GEN;INAN;N;NEUT;PL _
і то буде кінець .	і то бути кінець .	CONJ INAN;NEUT;NOM;PRO;SG 3;FIN;FUT;IND;IPFV;SG;V INAN;MASC;N;NOM;SG _
його діяльність перебуває під контролем свідомості людини .	його діяльність перебувати під контроль свідомість людина .	3;DET;FEM;NOM;SG FEM;INAN;N;NOM;SG 3;FIN;IND;IPFV;PRS;SG;V ADP;INS INAN;INS;MASC;N;SG FEM;GEN;INAN;N;SG ANIM;FEM;GEN;N;SG _
якоїсь миті вінстон ясно зрозумів що горлає разом із рештою та жорстоко , ба навіть брутально , лупить своєю п’ятою по обідку свого ж таки стільця .	якийсь мить вінстон ясно зрозуміти що горлати разом із решта та жорстоко , ба навіть брутально , лупити свій п’ята по обідок свій ж таки стілець .	DET;FEM;GEN;SG FEM;GEN;INAN;N;SG ANIM;MASC;NOM;PROPN;SG ADV FIN;IND;MASC;PFV;PST;SG;V CONJ 3;FIN;IND;IPFV;PRS;SG;V ADV ADP;INS FEM;INAN;INS;N;SG CONJ ADV _ CONJ PART ADV _ 3;FIN;IND;IPFV;PRS;SG;V DET;FEM;INS;REFL;SG FEM;INAN;INS;N;SG ADP;ESS ESS;INAN;MASC;N;SG DET;GEN;MASC;REFL;SG PART PART GEN;INAN;MASC;N;SG _
я спав серед іграшок на підлозі у залі для музики і танців .	я спати серед іграшка на підлога у зал для музика і танець .	1;ANIM;NOM;PRO;SG FIN;IND;IPFV;MASC;PST;SG;V ADP;GEN FEM;GEN;INAN;N;PL ADP;ESS ESS;FEM;INAN;N;SG ADP;ESS ESS;INAN;MASC;N;SG ADP;GEN FEM;GEN;INAN;N;SG CONJ GEN;INAN;MASC;N;PL _
у будь-якому разі , позитивною стороною книжки є те , що в ній зроблено перші кроки до створення української історичної діалектології , уґрунтованої в інтерпретації давньоукраїнських пам’яток .	у будь-який раз , позитивний сторона книжка бути те , що в вона зробити перший крок до створення український історичний діалектологія , уґрунтований в інтерпретація давньоукраїнський пам’ятка .	ADP;ESS DET;ESS;MASC;SG ESS;INAN;MASC;N;SG _ ADJ;FEM;INS;SG FEM;INAN;INS;N;SG FEM;GEN;INAN;N;SG 3;FIN;IND;IPFV;PRS;SG;V INAN;NEUT;NOM;PRO;SG _ CONJ ADP;ESS 3;ESS;FEM;PRO;SG 0;FIN;IND;PFV;V ACC;ADJ;INAN;PL ACC;INAN;MASC;N;PL ADP;GEN GEN;INAN;N;NEUT;SG ADJ;FEM;GEN;SG ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG _ ADJ;FEM;GEN;PASS;PFV;SG;V.PTCP ADP;ESS ESS;FEM;INAN;N;SG ADJ;GEN;PL FEM;GEN;INAN;N;PL _
а він каже :	а він казати :	CONJ 3;MASC;NOM;PRO;SG 3;FIN;IND;IPFV;PRS;SG;V _
аж тоді дзядзьо привітався з тимчасовою хатою так , як мав би вітатися колишній боєць штрафбату .	аж тоді дзядзьо привітатися з тимчасовий хата так , як мати би вітатися колишній боєць штрафбат .	PART ADV ANIM;MASC;N;NOM;SG FIN;IND;MASC;PFV;PST;SG;V ADP;INS ADJ;FEM;INS;SG FEM;INAN;INS;N;SG ADV _ ADV FIN;IND;IPFV;MASC;PST;SG;V COND;V IPFV;NFIN;V ADJ;MASC;NOM;SG ANIM;MASC;N;NOM;SG GEN;INAN;MASC;N;SG _
крім того , 10 % часу спостережень залишається в так званому « резерві директора інституту космічного телескопа » .	крім те , 10 % час спостереження залишатися в так званий « резерв директор інститут космічний телескоп » .	ADP;GEN GEN;INAN;NEUT;PRO;SG _ NOM;NUM GEN;INAN;MASC;N;PL GEN;INAN;MASC;N;SG GEN;INAN;N;NEUT;PL 3;FIN;IND;IPFV;PRS;SG;V ADP;ESS ADV ADJ;ESS;IPFV;MASC;PASS;SG;V.PTCP _ ESS;INAN;MASC;N;SG ANIM;GEN;MASC;N;SG GEN;INAN;MASC;N;SG ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG _ _
зміїна дочка зробилась ізнов людиною , а той дід зробився парубком , та давай утікати .	зміїний дочка зробитися ізнов людина , а той дід зробитися парубок , та давати утікати .	ADJ;FEM;NOM;SG ANIM;FEM;N;NOM;SG FEM;FIN;IND;PFV;PST;SG;V ADV ANIM;FEM;INS;N;SG _ CONJ DET;MASC;NOM;SG ANIM;MASC;N;NOM;SG FIN;IND;MASC;PFV;PST;SG;V ANIM;INS;MASC;N;SG _ CONJ 2;FIN;IMP;IPFV;SG;V IPFV;NFIN;V _
коли йому не протидіяти , він робить нас гнилими так , наче б ми вже були мертві .	коли він не протидіяти , він робити ми гнилий так , наче б ми вже бути мертвий .	CONJ 3;DAT;MASC;PRO;SG NEG;PART IPFV;NFIN;V _ 3;MASC;NOM;PRO;SG 3;FIN;IND;IPFV;PRS;SG;V 1;ACC;ANIM;PL;PRO ADJ;INS;PL ADV _ CONJ PART 1;ANIM;NOM;PL;PRO ADV FIN;IND;IPFV;PL;PST;V ADJ;NOM;PL _
замість серця в нього міститься торбочка з м'язів .	замість серце в він міститися торбочка з м’яз .	ADP;GEN GEN;INAN;N;NEUT;SG ADP;GEN 3;GEN;MASC;PRO;SG 3;FIN;IND;IPFV;PRS;SG;V FEM;INAN;N;NOM;SG ADP;GEN GEN;INAN;MASC;N;PL _
от як вагомо !	от як вагомо !	PART PART ADV _
пам'ятати , що тут у боях на чужій землі репрезентуємо всю упа , усі криваві визвольні змагання українського народу .	пам’ятати , що тут у бій на чужий земля репрезентувати весь упа , увесь кривавий визвольний змагання український народ .	IPFV;NFIN;V _ CONJ ADV ADP;ESS ESS;INAN;MASC;N;PL ADP;ESS ADJ;ESS;FEM;SG ESS;FEM;INAN;N;SG 1;FIN;IND;IPFV;PL;PRS;V ACC;DET;FEM;SG ACC;FEM;INAN;N;SG _ ACC;DET;INAN;PL ACC;ADJ;INAN;PL ACC;ADJ;INAN;PL ACC;INAN;N;NEUT;PL ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG _
пан меллоп знаходить стару запилюжену скриню на горищі .	пан меллоп знаходити старий запилюжений скриня на горище .	ANIM;MASC;N;NOM;SG ANIM;MASC;NOM;PROPN;SG 3;FIN;IND;IPFV;PRS;SG;V ACC;ADJ;FEM;SG ACC;ADJ;FEM;PASS;PFV;SG;V.PTCP ACC;FEM;INAN;N;SG ADP;ESS ESS;INAN;N;NEUT;SG _
вдягну , нарешті , ті штані з бердичівського секонду і розкажу , розкажу , з якої ж - таки насолоди мене витягнули ці сурми .	вдягнути , нарешті , той штані з бердичівський секонд і розказати , розказати , з який ж - таки насолода я витягнути цей сурма .	1;FIN;FUT;IND;PFV;SG;V _ ADV _ ACC;DET;INAN;PL ACC;INAN;N ADP;GEN ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG CONJ 1;FIN;FUT;IND;PFV;SG;V _ 1;FIN;FUT;IND;PFV;SG;V _ ADP;GEN DET;FEM;GEN;SG PART _ PART FEM;GEN;INAN;N;SG 1;ACC;ANIM;PRO;SG FIN;IND;PFV;PL;PST;V DET;NOM;PL FEM;INAN;N;NOM;PL _
темп шалений , але навіть його можна збільшити , якщо розумно запровадити ринок землі .	темп шалений , але навіть він можна збільшити , якщо розумно запровадити ринок земля .	INAN;MASC;N;NOM;SG ADJ;MASC;NOM;SG _ CONJ PART 3;ACC;MASC;PRO;SG ADV NFIN;PFV;V _ CONJ ADV NFIN;PFV;V ACC;INAN;MASC;N;SG FEM;GEN;INAN;N;SG _
сині марфині очі запливають слізьми і сяють угору на дядька левка — ще синіші .	синій марфин око запливати сльоза і сяяти угору на дядько левко — ще синіший .	ADJ;NOM;PL ADJ;NOM;PL INAN;N;NEUT;NOM;PL 3;FIN;IND;IPFV;PL;PRS;V FEM;INAN;INS;N;PL CONJ 3;FIN;IND;IPFV;PL;PRS;V ADV ACC;ADP ACC;ANIM;MASC;N;SG ACC;ANIM;MASC;PROPN;SG _ ADV ADJ;CMPR;NOM;PL _
коли його шпиталізували , омонівців забрали , рятуючи від відповідальності .	коли він шпиталізувати , омонівець забрати , рятувати від відповідальність .	ADV 3;ACC;MASC;PRO;SG FIN;IND;PFV;PL;PST;V _ ACC;ANIM;MASC;N;PL FIN;IND;PFV;PL;PST;V _ IPFV;PRS;V;V.CVB ADP;GEN FEM;GEN;INAN;N;SG _
тому на сьогодні існує проблема бережливого та раціонального використання металу та виробів з нього .	тому на сьогодні існувати проблема бережливий та раціональний використання метал та виріб з він .	ADV ACC;ADP ACC;INAN;N;NEUT;SG 3;FIN;IND;IPFV;PRS;SG;V FEM;INAN;N;NOM;SG ADJ;GEN;NEUT;SG CONJ ADJ;GEN;NEUT;SG GEN;INAN;N;NEUT;SG GEN;INAN;MASC;N;SG CONJ GEN;INAN;MASC;N;PL ADP;GEN 3;GEN;MASC;PRO;SG _
це явище , відоме як старіння населення , відбувається в усьому світі .	цей явище , відомий як старіння населення , відбуватися в увесь світ .	DET;NEUT;NOM;SG INAN;N;NEUT;NOM;SG _ ADJ;NEUT;NOM;SG CONJ INAN;N;NEUT;NOM;SG GEN;INAN;N;NEUT;SG _ 3;FIN;IND;IPFV;PRS;SG;V ADP;ESS DET;ESS;MASC;SG ESS;INAN;MASC;N;SG _
заки стояли , розважалися тим , що різними способами пробивали один одному кульки .	заки стояти , розважатися те , що різний спосіб пробивати один один кулька .	CONJ FIN;IND;IPFV;PL;PST;V _ FIN;IND;IPFV;PL;PST;V INAN;INS;NEUT;PRO;SG _ CONJ ADJ;INS;PL INAN;INS;MASC;N;PL FIN;IND;IPFV;PL;PST;V DET;MASC;NOM;SG DAT;DET;MASC;SG ACC;FEM;INAN;N;PL _
це може також підсилити явище старіння нації та деградація майбутнього покоління , адже з посиленим виїздом молодих талановитих громадян згодом немає кому буде навчати майбутнє покоління .	це могти також підсилити явище старіння нація та деградація майбутній покоління , адже з посилений виїзд молодий талановитий громадянин згодом немати хто бути навчати майбутній покоління .	ACC;INAN;NEUT;PRO;SG 3;FIN;IND;IPFV;PRS;SG;V ADV NFIN;PFV;V INAN;N;NEUT;NOM;SG GEN;INAN;N;NEUT;SG FEM;GEN;INAN;N;SG CONJ FEM;INAN;N;NOM;SG ADJ;GEN;NEUT;SG GEN;INAN;N;NEUT;SG _ CONJ ADP;INS ADJ;INS;MASC;PASS;PFV;SG;V.PTCP INAN;INS;MASC;N;SG ADJ;GEN;PL ADJ;GEN;PL ANIM;GEN;MASC;N;PL ADV 3;FIN;IND;IPFV;NEG;PRS;SG;V ANIM;DAT;MASC;PRO;SG 3;FIN;FUT;IND;IPFV;SG;V IPFV;NFIN;V ACC;ADJ;NEUT;SG ACC;INAN;N;NEUT;SG _
от раз та сучечка бігає коло хати та й дзявкотить :	от раз той сучечка бігати коло хата та й дзявкотіти :	PART ACC;INAN;MASC;N;SG DET;FEM;NOM;SG ANIM;FEM;N;NOM;SG 3;FIN;IND;IPFV;PRS;SG;V ADP;GEN FEM;GEN;INAN;N;SG CONJ PART 3;FIN;IND;IPFV;PRS;SG;V _
маю два чудові ілюстровані видання гаррі поттера .	мати два чудовий ілюстрований видання гаррі поттер .	1;FIN;IND;IPFV;PRS;SG;V ACC;NEUT;NUM ACC;ADJ;INAN;PL ACC;ADJ;INAN;PASS;PFV;PL;V.PTCP ACC;INAN;N;NEUT;PL ANIM;GEN;MASC;PROPN;SG ANIM;GEN;MASC;PROPN;SG _
синоніми становлять у великій мірі багатство мови , розуміється , коли авторів лінгвістичний смак і чуття мови вміє їх одтінити .	синонім становити у великий міра багатство мова , розумітися , коли авторів лінгвістичний смак і чуття мова вміти вони одтінити .	INAN;MASC;N;NOM;PL 3;FIN;IND;IPFV;PL;PRS;V ADP;ESS ADJ;ESS;FEM;SG ESS;FEM;INAN;N;SG ACC;INAN;N;NEUT;SG FEM;GEN;INAN;N;SG _ 3;FIN;IND;IPFV;PRS;SG;V _ CONJ ADJ;MASC;NOM;SG ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG CONJ INAN;N;NEUT;NOM;SG FEM;GEN;INAN;N;SG 3;FIN;IND;IPFV;PRS;SG;V 3;ACC;PL;PRO NFIN;PFV;V _
відправлення , які за розмірами чи вагою перевищують допустимі обмеження , приймаються до перевезення лише за попередньою домовленістю сторін .	відправлення , який за розмір чи вага перевищувати допустимий обмеження , прийматися до перевезення лише за попередній домовленість сторона .	INAN;N;NEUT;NOM;PL _ DET;NOM;PL ADP;INS INAN;INS;MASC;N;PL CONJ FEM;INAN;INS;N;SG 3;FIN;IND;IPFV;PL;PRS;V ACC;ADJ;INAN;PL ACC;INAN;N;NEUT;PL _ 3;FIN;IND;IPFV;PL;PRS;V ADP;GEN GEN;INAN;N;NEUT;SG PART ADP;INS ADJ;FEM;INS;SG FEM;INAN;INS;N;SG FEM;GEN;INAN;N;PL _
але законопроект про скасування пдв дуже цікавий , адже в проекті він стосується не лише автомобілів .	але законопроект про скасування пдв дуже цікавий , адже в проект він стосуватися не лише автомобіль .	CONJ INAN;MASC;N;NOM;SG ACC;ADP ACC;INAN;N;NEUT;SG GEN;INAN;MASC;N;SG ADV ADJ;MASC;NOM;SG _ CONJ ADP;ESS ESS;INAN;MASC;N;SG 3;MASC;NOM;PRO;SG 3;FIN;IND;IPFV;PRS;SG;V NEG;PART PART GEN;INAN;MASC;N;PL _
так , у результаті виплавлення однієї тонни сталі утворюється 650 – 700 кг твердих відходів — шлаків , шламів та відходів металу .	так , у результат виплавлення один тонна сталь утворюватися 650 – 700 кг твердий відхід — шлак , шлам та відхід метал .	ADV _ ADP;ESS ESS;INAN;MASC;N;SG GEN;INAN;N;NEUT;SG FEM;GEN;NUM FEM;GEN;INAN;N;SG FEM;GEN;INAN;N;SG 3;FIN;IND;IPFV;PRS;SG;V NOM;NUM _ NOM;NUM GEN;INAN;MASC;N;PL ADJ;GEN;PL GEN;INAN;MASC;N;PL _ GEN;INAN;MASC;N;PL _ GEN;INAN;MASC;N;PL CONJ GEN;INAN;MASC;N;PL GEN;INAN;MASC;N;SG _
« дуже важлива солідарна позиція країн єс , вже висловлена лідерами німеччини , франції , великої британії , що санкції мають тривати до повного виконання мінських угод , тобто , до повернення україною контролю над кордоном .	« дуже важливий солідарний позиція країна єс , вже висловлений лідер німеччина , франція , великий британія , що санкція мати тривати до повний виконання мінський угода , тобто , до повернення україна контроль над кордон .	_ ADV ADJ;FEM;NOM;SG ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG FEM;GEN;INAN;N;PL GEN;INAN;NEUT;PROPN;SG _ ADV ADJ;FEM;NOM;PASS;PFV;SG;V.PTCP ANIM;INS;MASC;N;PL FEM;GEN;INAN;PROPN;SG _ FEM;GEN;INAN;PROPN;SG _ ADJ;FEM;GEN;SG FEM;GEN;INAN;PROPN;SG _ CONJ FEM;INAN;N;NOM;PL 3;FIN;IND;IPFV;PL;PRS;V IPFV;NFIN;V ADP;GEN ADJ;GEN;NEUT;SG GEN;INAN;N;NEUT;SG ADJ;GEN;PL FEM;GEN;INAN;N;PL _ CONJ _ ADP;GEN GEN;INAN;N;NEUT;SG FEM;INAN;INS;PROPN;SG GEN;INAN;MASC;N;SG ADP;INS INAN;INS;MASC;N;SG _
розрахунки показують , що накопичений протягом 1992 - 1998 років бюджетний дефіцит становить 33 , 4 відсотка обсягу внутрішнього валового продукту нації у 1998 році , або 34 , 7 мільярда гривень , чи 14 , 2 мільярда доларів сша .	розрахунок показувати , що накопичений протягом 1992 - 1998 рік бюджетний дефіцит становити 33 , 4 відсоток обсяг внутрішній валовий продукт нація у 1998 рік , або 34 , 7 мільярд гривня , чи 14 , 2 мільярд долар сша .	INAN;MASC;N;NOM;PL 3;FIN;IND;IPFV;PL;PRS;V _ CONJ ADJ;MASC;NOM;PASS;PFV;SG;V.PTCP ADP;GEN ADJ;GEN;MASC;SG _ ADJ;GEN;MASC;SG GEN;INAN;MASC;N;PL ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG 3;FIN;IND;IPFV;PRS;SG;V ACC;NUM _ ACC;NUM GEN;INAN;MASC;N;SG GEN;INAN;MASC;N;SG ADJ;GEN;MASC;SG ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG FEM;GEN;INAN;N;SG ADP;ESS ADJ;ESS;MASC;SG ESS;INAN;MASC;N;SG _ CONJ ACC;NUM _ ACC;NUM GEN;INAN;MASC;N;SG FEM;GEN;INAN;N;PL _ CONJ ACC;NUM _ ACC;NUM;PL GEN;INAN;MASC;N;SG GEN;INAN;MASC;N;PL GEN;INAN;PROPN _
в останньому поєдинку проти сербії залишається з’ясувати , з якого місця наша команда потрапить на жеребкування євробаскету : з першого чи другого .	в останній поєдинок проти сербія залишатися з’ясувати , з який місце наш команда потрапити на жеребкування євробаскет : з перший чи другий .	ADP;ESS ADJ;ESS;MASC;SG ESS;INAN;MASC;N;SG ADP;GEN FEM;GEN;INAN;PROPN;SG 3;FIN;IND;IPFV;PRS;SG;V NFIN;PFV;V _ ADP;GEN DET;GEN;NEUT;SG GEN;INAN;N;NEUT;SG 1;DET;FEM;NOM;SG FEM;INAN;N;NOM;SG 3;FIN;FUT;IND;PFV;SG;V ACC;ADP ACC;INAN;N;NEUT;SG GEN;INAN;MASC;PROPN;SG _ ADP;GEN ADJ;GEN;NEUT;SG CONJ ADJ;GEN;NEUT;SG _
за попередніми оцінками , схожа кількість гостей завітає й наступного року до києва .	за попередній оцінка , схожий кількість гість завітати й наступний рік до київ .	ADP;INS ADJ;INS;PL FEM;INAN;INS;N;PL _ ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG ANIM;GEN;MASC;N;PL 3;FIN;FUT;IND;PFV;SG;V PART ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG ADP;GEN GEN;INAN;MASC;PROPN;SG _
це налякало місцевих мешканців , яким не подобається аж таке видиме вторгнення ісламу в це традиційно католицьке місто .	це налякати місцевий мешканець , який не подобатися аж такий видимий вторгнення іслам в цей традиційно католицький місто .	INAN;NEUT;NOM;PRO;SG FIN;IND;NEUT;PFV;PST;SG;V ACC;ADJ;ANIM;PL ACC;ANIM;MASC;N;PL _ DAT;DET;PL NEG;PART 3;FIN;IND;IPFV;PRS;SG;V PART DET;NEUT;NOM;SG ADJ;NEUT;NOM;SG INAN;N;NEUT;NOM;SG GEN;INAN;MASC;N;SG ACC;ADP ACC;DET;NEUT;SG ADV ACC;ADJ;NEUT;SG ACC;INAN;N;NEUT;SG _
як нараховуються бонуси ?	як нараховуватися бонус ?	ADV 3;FIN;IND;IPFV;PL;PRS;V INAN;MASC;N;NOM;PL _
:)	:)	_
дзядзьо михась , між іншим , не знав багатьох сучасних найпростіших слів .	дзядзьо михась , між інше , не знати багато сучасний найпростіший слово .	ANIM;MASC;N;NOM;SG ANIM;MASC;NOM;PROPN;SG _ ADP;INS INAN;INS;NEUT;PRO;SG _ NEG;PART FIN;IND;IPFV;MASC;PST;SG;V DET;GEN ADJ;GEN;PL ADJ;GEN;PL;RL GEN;INAN;N;NEUT;PL _
— чого тебе кликали ?	— чого ти кликати ?	_ ADV 2;ACC;ANIM;PRO;SG FIN;IND;IPFV;PL;PST;V _
