занимает площадь 352,658 км2 .	занимать площадь 352,658 км2 .	3;FIN;IND;IPFV;PRS;SG;V ACC;FEM;INAN;N;SG NOM;NUM GEN;INAN;MASC;N;PL _
генерал расулбеков был награждён орденами ленина , отечественной войны ii степени , красной звезды , трудового красного знамени и 14 медалями , в том числе `` за боевые заслуги &#39;&#39; , `` за оборону одессы &#39;&#39; , `` за оборону кавказа &#39;&#39; , `` за безупречную службу &#39;&#39; i степени и другими .	генерал расулбеков быть наградить орден ленин , отечественный война ii степень , красный звезда , трудовой красный знамя и 14 медаль , в тот число `` за боевой заслуга &#39;&#39; , `` за оборона одесса &#39;&#39; , `` за оборона кавказ &#39;&#39; , `` за безупречный служба &#39;&#39; i степень и другой .	ANIM;MASC;N;NOM;SG ANIM;MASC;NOM;PROPN;SG FIN;IND;IPFV;MASC;PST;SG;V ANIM;MASC;NOM;PASS;PFV;PST;SG;V;V.PTCP INAN;INS;MASC;N;PL ANIM;GEN;MASC;PROPN;SG _ ADJ;FEM;GEN;INAN;SG FEM;GEN;INAN;N;SG ADJ;FEM;GEN;INAN;SG FEM;GEN;INAN;N;SG _ ADJ;FEM;GEN;INAN;SG FEM;INAN;N;NOM;SG _ ADJ;GEN;INAN;NEUT;SG ADJ;GEN;INAN;NEUT;SG GEN;INAN;N;NEUT;SG CONJ INS;NUM FEM;INAN;INS;N;PL _ ADP DET;ESS;INAN;NEUT;SG ESS;INAN;N;NEUT;SG _ ADP ACC;ADJ;INAN;PL ACC;FEM;INAN;N;PL _ _ _ ADP ACC;FEM;INAN;N;SG FEM;GEN;INAN;PROPN;SG _ _ _ ADP ACC;FEM;INAN;N;SG GEN;INAN;MASC;PROPN;SG _ _ _ ADP ACC;ADJ;FEM;INAN;SG ACC;FEM;INAN;N;SG _ ADJ;FEM;GEN;INAN;SG FEM;GEN;INAN;N;SG CONJ ADJ;INAN;INS;PL _
население 75 постоянных жителей .	население 75 постоянный житель .	INAN;N;NEUT;NOM;SG NOM;NUM ADJ;ANIM;GEN;PL ANIM;GEN;MASC;N;PL _
однако старообрядец кузнецов учитывал и интересы своих православных рабочих .	однако старообрядец кузнецов учитывать и интерес свой православный рабочий .	CONJ ANIM;MASC;N;NOM;SG ANIM;MASC;NOM;PROPN;SG FIN;IND;IPFV;MASC;PST;SG;V PART ACC;INAN;MASC;N;PL ANIM;DET;GEN;PL;REFL ADJ;ANIM;GEN;PL ANIM;GEN;MASC;N;PL _
на объявленном конкурсе проектов памятника победил главный архитектор города михаил сорокин .	на объявить конкурс проект памятник победить главный архитектор город михаил сорокин .	ADP ESS;INAN;MASC;PASS;PFV;PST;SG;V;V.PTCP ESS;INAN;MASC;N;SG GEN;INAN;MASC;N;PL GEN;INAN;MASC;N;SG FIN;IND;MASC;PFV;PST;SG;V ADJ;ANIM;MASC;NOM;SG ANIM;MASC;N;NOM;SG GEN;INAN;MASC;N;SG ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG _
регион в налоговой службе рф -- 99 .	регион в налоговый служба рф -- 99 .	INAN;MASC;N;NOM;SG ADP ADJ;ESS;FEM;INAN;SG ESS;FEM;INAN;N;SG FEM;GEN;INAN;PROPN;SG _ NOM;NUM _
в xviii веке в городе правил могущественный владетель али - паша тепеленский .	в xviii век в город править могущественный владетель али - паша тепеленский .	ADP ADJ;ESS;INAN;MASC;SG ESS;INAN;MASC;N;SG ADP ESS;INAN;MASC;N;SG FIN;IND;IPFV;MASC;PST;SG;V ADJ;ANIM;MASC;NOM;SG ANIM;MASC;N;NOM;SG ADV _ ANIM;MASC;N;NOM;SG ADJ;ANIM;MASC;NOM;SG _
после 1988 года -- на тренерской работе .	после 1988 год -- на тренерский работа .	ADP ADJ;GEN;INAN;MASC;SG GEN;INAN;MASC;N;SG _ ADP ADJ;ESS;FEM;INAN;SG ESS;FEM;INAN;N;SG _
например , в январе , феврале 1940 года юго - восточный , западный и нижне - амурский лагеря объединили в один нижне - амурский лагерь .	например , в январь , февраль 1940 год юго - восточный , западный и нижне - амурский лагерь объединить в один нижне - амурский лагерь .	ADV _ ADP ESS;INAN;MASC;N;SG _ ESS;INAN;MASC;N;SG ADJ;GEN;INAN;MASC;SG GEN;INAN;MASC;N;SG ADV _ ACC;ADJ;INAN;MASC;SG _ ACC;ADJ;INAN;MASC;SG CONJ ADV _ ACC;ADJ;INAN;MASC;SG ACC;INAN;MASC;N;PL FIN;IND;PFV;PL;PST;V ADP ACC;INAN;MASC;NUM;SG ADV _ ACC;ADJ;INAN;MASC;SG ACC;INAN;MASC;N;SG _
умер 9 января 1961 года .	умереть 9 январь 1961 год .	FIN;IND;MASC;PFV;PST;SG;V ADJ;GEN;INAN;NEUT;SG GEN;INAN;MASC;N;SG ADJ;GEN;INAN;MASC;SG GEN;INAN;MASC;N;SG _
в августе главный тренер `` вест бромвича &#39;&#39; тони моубрей также выразил желание подписать ишмаэля на правах долгосрочной аренды и 15 августа `` дрозды &#39;&#39; завершили арендную сделку , включавшую в себя опцию последующего выкупа прав на футболиста .	в август главный тренер `` вест бромвич &#39;&#39; тони моубрей также выразить желание подписать ишмаэль на право долгосрочный аренда и 15 август `` дрозд &#39;&#39; завершить арендный сделка , включать в себя опция последующий выкуп право на футболист .	ADP ESS;INAN;MASC;N;SG ADJ;ANIM;MASC;NOM;SG ANIM;MASC;N;NOM;SG _ GEN;INAN;MASC;PROPN;SG GEN;INAN;MASC;PROPN;SG _ ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG PART FIN;IND;MASC;PFV;PST;SG;V ACC;INAN;N;NEUT;SG NFIN;PFV;V ACC;ANIM;MASC;PROPN;SG ADP ESS;INAN;N;NEUT;PL ADJ;FEM;GEN;INAN;SG FEM;GEN;INAN;N;SG CONJ ADJ;GEN;INAN;NEUT;SG GEN;INAN;MASC;N;SG _ ANIM;MASC;N;NOM;PL _ FIN;IND;PFV;PL;PST;V ACC;ADJ;FEM;INAN;SG ACC;FEM;INAN;N;SG _ ACC;ACT;FEM;INAN;IPFV;PST;SG;V;V.PTCP ADP ACC;PRO;REFL ACC;FEM;INAN;N;SG ADJ;GEN;INAN;MASC;SG GEN;INAN;MASC;N;SG GEN;INAN;N;NEUT;PL ADP ACC;ANIM;MASC;N;SG _
заварзин вместе с супругой владеет земельным участком площадью 1,4 тыс. квадратных метров , жилым домом , квартирой , двумя легковыми автомобилями и мотоциклом .	заварзин вместе с супруга владеть земельный участок площадь 1,4 тыс квадратный метр , жилой дом , квартира , два легковой автомобиль и мотоцикл .	ANIM;MASC;NOM;PROPN;SG ADV ADP ANIM;FEM;INS;N;SG 3;FIN;IND;IPFV;PRS;SG;V ADJ;INAN;INS;MASC;SG INAN;INS;MASC;N;SG FEM;INAN;INS;N;SG ACC;INAN;NUM FEM;GEN;INAN;N;PL ADJ;GEN;INAN;PL GEN;INAN;MASC;N;PL _ ADJ;INAN;INS;MASC;SG INAN;INS;MASC;N;SG _ FEM;INAN;INS;N;SG _ INAN;INS;MASC;NUM ADJ;INAN;INS;PL INAN;INS;MASC;N;PL CONJ INAN;INS;MASC;N;SG _
в россии косой крест зачастую называют андреевским .	в россия косой крест зачастую называть андреевский .	ADP ESS;FEM;INAN;PROPN;SG ACC;ADJ;INAN;MASC;SG ACC;INAN;MASC;N;SG ADV 3;FIN;IND;IPFV;PL;PRS;V ADJ;INAN;INS;MASC;SG _
в 2000 году была передана православному приходу , объединившему петербургское казачество ; именуется `` казачьим &#39;&#39; собором .	в 2000 год быть передать православный приход , объединить петербургский казачество ; именоваться `` казачий &#39;&#39; собор .	ADP ADJ;ESS;INAN;MASC;SG ESS;INAN;MASC;N;SG FEM;FIN;IND;IPFV;PST;SG;V FEM;INAN;NOM;PASS;PFV;PST;SG;V;V.PTCP ADJ;DAT;INAN;MASC;SG DAT;INAN;MASC;N;SG _ ACT;DAT;INAN;MASC;PFV;PST;SG;V;V.PTCP ACC;ADJ;INAN;NEUT;SG ACC;INAN;N;NEUT;SG _ 3;FIN;IND;IPFV;MID;PRS;SG;V _ ADJ;INAN;INS;MASC;SG _ INAN;INS;MASC;N;SG _
лечился в деревнях некрасово , мосолово и дылдино .	лечиться в деревня некрасово , мосолово и дылдино .	FIN;IND;IPFV;MASC;MID;PST;SG;V ADP ESS;FEM;INAN;N;PL INAN;NEUT;NOM;PROPN;SG _ INAN;NEUT;NOM;PROPN;SG CONJ INAN;NEUT;NOM;PROPN;SG _
когда этот состав героев снова показали какому - то начальству , он сказал -- два дурачка ( незнайка и петрушка ) , два капиталистических героя ( дюймовочка и чиполлино ) , а один чешский герой -- гурвинек .	когда этот состав герой снова показать какой - то начальство , он сказать -- два дурачок ( незнайка и петрушка ) , два капиталистический герой ( дюймовочка и чиполлино ) , а один чешский герой -- гурвинек .	CONJ ACC;DET;INAN;MASC;SG ACC;INAN;MASC;N;SG ANIM;GEN;MASC;N;PL ADV FIN;IND;PFV;PL;PST;V ANIM;DAT;DET;NEUT;SG _ ADV DAT;INAN;N;NEUT;SG _ 3;MASC;NOM;PRO;SG FIN;IND;MASC;PFV;PST;SG;V _ ANIM;MASC;NOM;NUM ANIM;GEN;MASC;N;SG _ ANIM;MASC;NOM;PROPN;SG CONJ ANIM;MASC;NOM;PROPN;SG _ _ ANIM;MASC;NOM;NUM ADJ;ANIM;GEN;PL ANIM;GEN;MASC;N;SG _ ANIM;FEM;NOM;PROPN;SG CONJ ANIM;MASC;NOM;PROPN;SG _ _ CONJ ANIM;MASC;NOM;NUM;SG ADJ;ANIM;MASC;NOM;SG ANIM;MASC;N;NOM;SG _ ANIM;MASC;NOM;PROPN;SG _
с ноября 1982 года -- секретарь президиума верховного совета ссср .	с ноябрь 1982 год -- секретарь президиум верховный совет ссср .	ADP GEN;INAN;MASC;N;SG ADJ;GEN;INAN;MASC;SG GEN;INAN;MASC;N;SG _ ANIM;MASC;N;NOM;SG GEN;INAN;MASC;N;SG ADJ;GEN;INAN;MASC;SG GEN;INAN;MASC;N;SG GEN;INAN;MASC;PROPN;SG _
условия содержания и уровень организации работ были выше в дополнительном отделении , наиболее хороших работников даже переводили из коровников на угличскую улицу .	условие содержание и уровень организация работа быть высокий в дополнительный отделение , наиболее хороший работник даже переводить из коровники на угличский улица .	INAN;N;NEUT;NOM;PL GEN;INAN;N;NEUT;SG CONJ INAN;MASC;N;NOM;SG FEM;GEN;INAN;N;SG FEM;GEN;INAN;N;PL FIN;IND;IPFV;PL;PST;V ADJ;CMPR ADP ADJ;ESS;INAN;NEUT;SG ESS;INAN;N;NEUT;SG _ ADV;RL ACC;ADJ;ANIM;PL ACC;ANIM;MASC;N;PL PART FIN;IND;IPFV;PL;PST;V ADP GEN;INAN;MASC;PL;PROPN ADP ACC;ADJ;FEM;INAN;SG ACC;FEM;INAN;N;SG _
стебелёк между грудкой и брюшком состоит из двух члеников : петиолюса и постпетиолюса ( последний четко отделен от брюшка ) , жало развито , куколки голые ( без кокона ) .	стебелек между грудка и брюшко состоять из два членик : петиолюс и постпетиолюс ( последний четко отделить от брюшко ) , жало развить , куколка голый ( без кокон ) .	INAN;MASC;N;NOM;SG ADP FEM;INAN;INS;N;SG CONJ INAN;INS;N;NEUT;SG 3;FIN;IND;IPFV;PRS;SG;V ADP GEN;INAN;MASC;NUM GEN;INAN;MASC;N;PL _ GEN;INAN;MASC;N;SG CONJ GEN;INAN;MASC;N;SG _ INAN;MASC;N;NOM;SG ADV INAN;MASC;NOM;PASS;PFV;PST;SG;V;V.PTCP ADP GEN;INAN;N;NEUT;SG _ _ INAN;N;NEUT;NOM;SG INAN;NEUT;NOM;PASS;PFV;PST;SG;V;V.PTCP _ FEM;INAN;N;NOM;PL ADJ;INAN;NOM;PL _ ADP GEN;INAN;MASC;N;SG _ _
расположено в центральной части территории горсовета , в 12 км к северу по шоссе ( судак -- грушевка ) от судака , в долине небольшой речки суук - су юго - восточного склона главной гряды крымских гор , высота центра села над уровнем моря 250 м .	расположить в центральный часть территория горсовет , в 12 км к север по шоссе ( судак -- грушевка ) от судак , в долина небольшой речка суук - су юго - восточный склон главный гряда крымский гора , высота центр село над уровень море 250 м .	INAN;NEUT;NOM;PASS;PFV;PST;SG;V;V.PTCP ADP ADJ;ESS;FEM;INAN;SG ESS;FEM;INAN;N;SG FEM;GEN;INAN;N;SG GEN;INAN;MASC;N;SG _ ADP ESS;NUM ESS;INAN;MASC;N;PL ADP DAT;INAN;MASC;N;SG ADP DAT;INAN;N;NEUT;SG _ INAN;MASC;NOM;PROPN;SG _ FEM;INAN;NOM;PROPN;SG _ ADP GEN;INAN;MASC;PROPN;SG _ ADP ESS;FEM;INAN;N;SG ADJ;FEM;GEN;INAN;SG FEM;GEN;INAN;N;SG INAN;MASC;NOM;PROPN;SG _ ADV ADV _ ADJ;GEN;INAN;MASC;SG GEN;INAN;MASC;N;SG ADJ;FEM;GEN;INAN;SG FEM;GEN;INAN;N;SG ADJ;GEN;INAN;PL FEM;GEN;INAN;N;PL _ FEM;INAN;N;NOM;SG GEN;INAN;MASC;N;SG GEN;INAN;N;NEUT;SG ADP INAN;INS;MASC;N;SG GEN;INAN;N;NEUT;SG NOM;NUM GEN;INAN;MASC;N;PL _
с точки зрения сторонников славянского ( классического ) происхождения бабы - яги , немаловажным аспектом этого образа видится принадлежность её сразу к двум мирам -- миру мёртвых и миру живых .	с точка зрение сторонник славянский ( классический ) происхождение баба - яга , немаловажный аспект этот образ видеться принадлежность ее сразу к два мир -- мир мертвый и мир живой .	ADP FEM;GEN;INAN;N;SG GEN;INAN;N;NEUT;SG ANIM;GEN;MASC;N;PL ADJ;GEN;INAN;NEUT;SG _ ADJ;GEN;INAN;NEUT;SG _ GEN;INAN;N;NEUT;SG ANIM;FEM;GEN;N;SG _ ANIM;FEM;GEN;PROPN;SG _ ADJ;INAN;INS;MASC;SG INAN;INS;MASC;N;SG DET;GEN;INAN;MASC;SG GEN;INAN;MASC;N;SG 3;FIN;IND;IPFV;MID;PRS;SG;V FEM;INAN;N;NOM;SG 3;DET ADV ADP DAT;INAN;MASC;NUM DAT;INAN;MASC;N;PL _ DAT;INAN;MASC;N;SG ANIM;GEN;MASC;N;PL CONJ DAT;INAN;MASC;N;SG ANIM;GEN;MASC;N;PL _
первоначальная дата релиза в соединенных штатах была намечена на 25 августа 2009 года , но альбом был издан позже -- 29 сентября под лейблом island records , и 23 ноября 2009 года под лейблом mercury records -- в великобритании .	первоначальный дата релиз в соединенный штат быть наметить на 25 август 2009 год , но альбом быть издать позже -- 29 сентябрь под лейбл island records , и 23 ноябрь 2009 год под лейбл mercury records -- в великобритания .	ADJ;FEM;INAN;NOM;SG FEM;INAN;N;NOM;SG GEN;INAN;MASC;N;SG ADP ADJ;ESS;INAN;PL ESS;INAN;MASC;N;PL FEM;FIN;IND;IPFV;PST;SG;V FEM;INAN;NOM;PASS;PFV;PST;SG;V;V.PTCP ADP ACC;ADJ;INAN;NEUT;SG GEN;INAN;MASC;N;SG ADJ;GEN;INAN;MASC;SG GEN;INAN;MASC;N;SG _ CONJ INAN;MASC;N;NOM;SG FIN;IND;IPFV;MASC;PST;SG;V INAN;MASC;NOM;PASS;PFV;PST;SG;V;V.PTCP ADV;CMPR _ ADJ;GEN;INAN;NEUT;SG GEN;INAN;MASC;N;SG ADP INAN;INS;MASC;N;SG INAN;INS;MASC;N;SG FEM;INAN;INS;N;PL _ CONJ ADJ;GEN;INAN;NEUT;SG GEN;INAN;MASC;N;SG ADJ;GEN;INAN;MASC;SG GEN;INAN;MASC;N;SG ADP INAN;INS;MASC;N;SG INAN;INS;N;NEUT;SG FEM;INAN;INS;N;PL _ ADP ESS;FEM;INAN;PROPN;SG _
14 мая 2013 года вышел второй сольный альбом андрея под названием `` тонкая грань &#39;&#39; .	14 май 2013 год выйти второй сольный альбом андрей под название `` тонкий грань &#39;&#39; .	ADJ;GEN;INAN;NEUT;SG GEN;INAN;MASC;N;SG ADJ;GEN;INAN;MASC;SG GEN;INAN;MASC;N;SG FIN;IND;MASC;PFV;PST;SG;V ADJ;INAN;MASC;NOM;SG ADJ;INAN;MASC;NOM;SG INAN;MASC;N;NOM;SG ANIM;GEN;MASC;PROPN;SG ADP INAN;INS;N;NEUT;SG _ ADJ;FEM;INAN;NOM;SG FEM;INAN;N;NOM;SG _ _
по окончании спортивной карьеры -- общественный деятель .	по окончание спортивный карьера -- общественный деятель .	ADP ESS;INAN;N;NEUT;SG ADJ;FEM;GEN;INAN;SG FEM;GEN;INAN;N;SG _ ADJ;ANIM;MASC;NOM;SG ANIM;MASC;N;NOM;SG _
его сделали более похожим на голос робота и уменьшили темп .	он сделать более похожий на голос робот и уменьшить темп .	3;GEN;MASC;PRO;SG FIN;IND;PFV;PL;PST;V ADV;CMPR ADJ;INAN;INS;MASC;SG ADP ACC;INAN;MASC;N;SG ANIM;GEN;MASC;N;SG CONJ FIN;IND;PFV;PL;PST;V ACC;INAN;MASC;N;SG _
укусы синекольчатого осьминога особенно опасны для детей , из - за малой массы тела .	укус синекольчатый осьминог особенно опасный для ребенок , из - за малый масса тело .	INAN;MASC;N;NOM;PL ADJ;ANIM;GEN;MASC;SG ANIM;GEN;MASC;N;SG ADV ADJ;INAN;NOM;PL ADP ANIM;GEN;MASC;N;PL _ ADP _ ADP ADJ;FEM;GEN;INAN;SG FEM;GEN;INAN;N;SG GEN;INAN;N;NEUT;SG _
однако его мать сказала : `` мой сын никогда не будет путаться с этими ужасными людьми &#39;&#39; .	однако его мать сказать : `` мой сын никогда не быть путаться с этот ужасный человек &#39;&#39; .	CONJ 3;DET ANIM;FEM;N;NOM;SG FEM;FIN;IND;PFV;PST;SG;V _ _ 1;ANIM;DET;MASC;NOM;SG ANIM;MASC;N;NOM;SG ADV NEG;PART 3;FIN;FUT;IND;IPFV;SG;V IPFV;MID;NFIN;V ADP ANIM;DET;INS;PL ADJ;ANIM;INS;PL ANIM;INS;MASC;N;PL _ _
джей - лига 2011 дивизион 1 -- 19 - й сезон высшего дивизиона джей - лиги .	джей - лига 2011 дивизион 1 -- 19 - й сезон высший дивизион джей - лига .	ADV _ FEM;INAN;N;NOM;SG NOM;NUM INAN;MASC;N;NOM;SG INAN;MASC;NOM;NUM;SG _ ADV _ ADJ;INAN;MASC;NOM;SG INAN;MASC;N;NOM;SG ADJ;GEN;INAN;MASC;RL;SG GEN;INAN;MASC;N;SG ADV _ FEM;GEN;INAN;N;SG _
возглавил его бараев василий григорьевич .	возглавить он бараев василий григорьевич .	FIN;IND;MASC;PFV;PST;SG;V 3;ACC;MASC;PRO;SG ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG _
жандармы всерьёз начинают беспокоиться о состоянии здоровья своего коллеги .	жандарм всерьез начинать беспокоиться о состояние здоровье свой коллега .	ANIM;MASC;N;NOM;PL ADV 3;FIN;IND;IPFV;PL;PRS;V IPFV;MID;NFIN;V ADP ESS;INAN;N;NEUT;SG GEN;INAN;N;NEUT;SG ANIM;DET;GEN;MASC;REFL;SG ANIM;GEN;MASC;N;SG _
по сведениям 1890 года , в алфёрове действовала земская школа .	по сведение 1890 год , в алферово действовать земский школа .	ADP DAT;INAN;N;NEUT;PL ADJ;GEN;INAN;MASC;SG GEN;INAN;MASC;N;SG _ ADP ESS;INAN;NEUT;PROPN;SG FEM;FIN;IND;IPFV;PST;SG;V ADJ;FEM;INAN;NOM;SG FEM;INAN;N;NOM;SG _
а в лондонской школе экономики и политических наук органично сочетаются оба варианта : оценивание в качестве отдельной учебной дисциплины , курс `` аналитические рамки оценивания политик &#39;&#39; ( analytical frameworks for policy evaluation ) и как одна из составляющих других дисциплин ( среди них можно выделить экономическую сферу , сферу здравоохранения и защиту окружающей среды ) .	а в лондонский школа экономика и политический наука органично сочетаться оба вариант : оценивание в качество отдельный учебный дисциплина , курс `` аналитический рамка оценивание политика &#39;&#39; ( analytical framework for policy evaluation ) и как один из составляющая другой дисциплина ( среди они можно выделить экономический сфера , сфера здравоохранение и защита окружающий среда ) .	CONJ ADP ADJ;ESS;FEM;INAN;SG ESS;FEM;INAN;N;SG FEM;GEN;INAN;N;SG CONJ ADJ;GEN;INAN;PL FEM;GEN;INAN;N;PL ADV 3;FIN;IND;IPFV;MID;PL;PRS;V INAN;MASC;NOM;NUM GEN;INAN;MASC;N;SG _ INAN;N;NEUT;NOM;SG ADP ESS;INAN;N;NEUT;SG ADJ;FEM;GEN;INAN;SG ADJ;FEM;GEN;INAN;SG FEM;GEN;INAN;N;SG _ INAN;MASC;N;NOM;SG _ ADJ;INAN;NOM;PL FEM;INAN;N;NOM;PL GEN;INAN;N;NEUT;SG FEM;GEN;INAN;N;PL _ _ ADJ;INAN;NOM;PL FEM;INAN;N;NOM;PL ADP GEN;INAN;N;NEUT;SG GEN;INAN;MASC;N;SG _ CONJ ADP FEM;INAN;NOM;NUM;SG ADP FEM;GEN;INAN;N;PL ADJ;GEN;INAN;PL FEM;GEN;INAN;N;PL _ ADP 3;GEN;PL;PRO V NFIN;PFV;V ACC;ADJ;FEM;INAN;SG ACC;FEM;INAN;N;SG _ ACC;FEM;INAN;N;SG GEN;INAN;N;NEUT;SG CONJ ACC;FEM;INAN;N;SG ADJ;FEM;GEN;INAN;SG FEM;GEN;INAN;N;SG _ _
в июле 1962 года американская противоракета `` найк - зевс &#39;&#39; впервые смогла поразить боевой блок мбр `` атлас &#39;&#39; ( первый такой перехват в истории был осуществлён 4 марта 1961 года в сары - шагане ракетой в - 1000 ) , однако ввиду недостаточного технического совершенства и дороговизны так и не была принята на вооружение , хотя многие американские зрк были позже разработаны с применением технологий проекта `` найк &#39;&#39; .	в июль 1962 год американский противоракета `` найк - зевс &#39;&#39; впервые смочь поразить боевой блок мбр `` атлас &#39;&#39; ( первый такой перехват в история быть осуществить 4 март 1961 год в сары - шаган ракета в - 1000 ) , однако ввиду недостаточный технический совершенство и дороговизна так и не быть принять на вооружение , хотя многий американский зрк быть позже разработать с применение технология проект `` найк &#39;&#39; .	ADP ESS;INAN;MASC;N;SG ADJ;GEN;INAN;MASC;SG GEN;INAN;MASC;N;SG ADJ;FEM;INAN;NOM;SG FEM;INAN;N;NOM;SG _ ADV _ INAN;MASC;NOM;PROPN;SG _ ADV FEM;FIN;IND;PFV;PST;SG;V NFIN;PFV;V ACC;ADJ;INAN;MASC;SG ACC;INAN;MASC;N;SG FEM;GEN;INAN;N;SG _ INAN;MASC;N;NOM;SG _ _ ADJ;INAN;MASC;NOM;SG DET;INAN;MASC;NOM;SG INAN;MASC;N;NOM;SG ADP ESS;FEM;INAN;N;SG FIN;IND;IPFV;MASC;PST;SG;V INAN;MASC;NOM;PASS;PFV;PST;SG;V;V.PTCP ADJ;GEN;INAN;NEUT;SG GEN;INAN;MASC;N;SG ADJ;GEN;INAN;MASC;SG GEN;INAN;MASC;N;SG ADP ADV _ ESS;INAN;MASC;PROPN;SG FEM;INAN;INS;N;SG INAN;MASC;N;NOM;SG _ ADV _ _ CONJ ADP ADJ;GEN;INAN;NEUT;SG ADJ;GEN;INAN;NEUT;SG GEN;INAN;N;NEUT;SG CONJ FEM;GEN;INAN;N;SG ADV CONJ NEG;PART FEM;FIN;IND;IPFV;PST;SG;V FEM;INAN;NOM;PASS;PFV;PST;SG;V;V.PTCP ADP ACC;INAN;N;NEUT;SG _ CONJ ADJ;INAN;NOM;PL ADJ;INAN;NOM;PL INAN;MASC;N;NOM;PL FIN;IND;IPFV;PL;PST;V ADV;CMPR INAN;NOM;PASS;PFV;PL;PST;V;V.PTCP ADP INAN;INS;N;NEUT;SG FEM;GEN;INAN;N;PL GEN;INAN;MASC;N;SG _ INAN;MASC;NOM;PROPN;SG _ _
вторая фаза -- период восстановления .	второй фаза -- период восстановление .	ADJ;FEM;INAN;NOM;SG FEM;INAN;N;NOM;SG _ INAN;MASC;N;NOM;SG GEN;INAN;N;NEUT;SG _
пусть f -- некоторый функционал , то есть функция , определённая на некотором множестве функций .	пусть f -- некоторый функционал , то быть функция , определить на некоторый множество функция .	PART INAN;MASC;N;NOM;SG _ DET;INAN;MASC;NOM;SG INAN;MASC;N;NOM;SG _ INAN;NEUT;NOM;PRO;SG 3;FIN;IND;IPFV;PRS;SG;V FEM;INAN;N;NOM;SG _ FEM;INAN;NOM;PASS;PFV;PST;SG;V;V.PTCP ADP DET;ESS;INAN;NEUT;SG ESS;INAN;N;NEUT;SG FEM;GEN;INAN;N;PL _
в 1979 году франке основал ars electronica в линце , австрия .	в 1979 год франке основать ars electronica в линц , австрия .	ADP ADJ;ESS;INAN;MASC;SG ESS;INAN;MASC;N;SG ANIM;MASC;NOM;PROPN;SG FIN;IND;MASC;PFV;PST;SG;V ACC;INAN;MASC;PROPN;SG ACC;FEM;INAN;PROPN;SG ADP ESS;INAN;MASC;PROPN;SG _ FEM;INAN;NOM;PROPN;SG _
9 жителей погибли на фронте .	9 житель погибнуть на фронт .	NOM;NUM ANIM;GEN;MASC;N;PL FIN;IND;PFV;PL;PST;V ADP ESS;INAN;MASC;N;SG _
барыкина иногда называют `` отцом русского регги &#39;&#39; .	барыкин иногда называть `` отец русский регги &#39;&#39; .	ACC;ANIM;MASC;PROPN;SG ADV 3;FIN;IND;IPFV;PL;PRS;V _ ANIM;INS;MASC;N;SG ADJ;GEN;INAN;NEUT;SG GEN;INAN;MASC;N;SG _ _
если диски не попали в корт соперников , то очко ( или 2 ) засчитывается противнику .	если диск не попадать в корт соперник , то очко ( или 2 ) засчитываться противник .	CONJ INAN;MASC;N;NOM;PL NEG;PART FIN;IND;PFV;PL;PST;V ADP ACC;INAN;MASC;N;SG ANIM;GEN;MASC;N;PL _ ADV INAN;N;NEUT;NOM;SG _ CONJ INAN;NEUT;NOM;NUM _ 3;FIN;IND;IPFV;MID;PRS;SG;V ANIM;DAT;MASC;N;SG _
пока альбом считается лучшим из всех записанных группой .	пока альбом считаться лучший из весь записать группа .	ADV INAN;MASC;N;NOM;SG 3;FIN;IND;IPFV;MID;PRS;SG;V ADJ;INAN;INS;MASC;RL;SG ADP DET;GEN;INAN;PL GEN;INAN;PASS;PFV;PL;PST;V;V.PTCP FEM;INAN;INS;N;SG _
как и рабочий мост , кузнечный мост после войны не восстанавливался .	как и рабочий мост , кузнечный мост после война не восстанавливаться .	ADP PART ADJ;INAN;MASC;NOM;SG INAN;MASC;N;NOM;SG _ ADJ;INAN;MASC;NOM;SG INAN;MASC;N;NOM;SG ADP FEM;GEN;INAN;N;SG NEG;PART FIN;IND;IPFV;MASC;MID;PST;SG;V _
рса была создана на основе закона конгресса сша с правлением в радиовещательном совете управляющих .	рса быть создать на основа закон конгресс сша с правление в радиовещательный совет управляющий .	FEM;INAN;NOM;PROPN;SG FEM;FIN;IND;IPFV;PST;SG;V FEM;INAN;NOM;PASS;PFV;PST;SG;V;V.PTCP ADP ESS;FEM;INAN;N;SG GEN;INAN;MASC;N;SG GEN;INAN;MASC;N;SG GEN;INAN;MASC;PL;PROPN ADP INAN;INS;N;NEUT;SG ADP ADJ;ESS;INAN;MASC;SG ESS;INAN;MASC;N;SG ANIM;GEN;MASC;N;PL _
