brug den i tynde flager som gratinering af en ovnret eller i tern i salatskålen .	bruge den i tynd flage som gratinering af en ovnret eller i tern i salatskål .	IMP;V 3;ACC;MASC+FEM;PRO;SG ADP ADJ;PL INDF;MASC+FEM;N;PL ADP INDF;MASC+FEM;N;SG ADP DET;MASC+FEM;SG INDF;MASC+FEM;N;SG CONJ ADP INDF;N;PL ADP DEF;MASC+FEM;N;SG _
det andet vigtige midterparti , cd , får ifølge gfk-undersøgelsen det laveste resultat siden folketingsvalget 12. december 1990 .	den anden vigtig midterparti , cd , få ifølge gfk-undersøgelse den lav resultat siden folketingsvalg 12. december 1990 .	DET;NEUT;SG DET;NEUT;SG ADJ;DEF;SG INDF;N;NEUT;SG _ PROPN _ ACT;FIN;IND;PRS;V ADP DEF;MASC+FEM;N;SG DET;NEUT;SG ADJ;DEF;RL INDF;N;NEUT;SG ADP DEF;N;NEUT;SG ADJ INDF;MASC+FEM;N;SG NUM _
elektronisk indsprøjtning .	elektronisk indsprøjtning .	ADJ;INDF;SG INDF;MASC+FEM;N;SG _
så dét er jeg ?	så det være jeg ?	ADV 3;ACC;NEUT;PRO;SG ACT;FIN;IND;PRS;V 1;MASC+FEM;NOM;PRO;SG _
hvad havde de , som nu savnes ?	hvad have de , som nu savne ?	PRO;SG ACT;FIN;IND;PST;V 3;NOM;PL;PRO _ PRO ADV FIN;IND;PASS;PRS;V _
denne gang i følgeskab med jørn middelhede , ligeledes fra kolding .	denne gang i følgeskab med jørn middelhede , ligeledes fra kolding .	DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP INDF;N;NEUT;SG ADP PROPN PROPN _ ADV ADP PROPN _
en af landets juridiske eksperter i bofællesskabets jungle er ejendomsmægler , cand.-jur. svend trangeled fra advokatfirmaet niels gesner , københavn .	en af land juridisk ekspert i bofællesskab jungle være ejendomsmægler , candidatus-juris svend trangeled fra advokatfirma niels gesner , københavn .	MASC+FEM;PRO;SG ADP DEF;GEN;N;NEUT;SG ADJ;PL INDF;MASC+FEM;N;PL ADP DEF;GEN;N;NEUT;SG INDF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V INDF;MASC+FEM;N;SG _ _ PROPN PROPN ADP DEF;N;NEUT;SG PROPN PROPN _ PROPN _
- synes de ikke , pjuske er et helt pænt navn ? spørger jeg .	- synes de ikke , pjuske være en helt pæn navn ? spørge jeg .	_ ACT;FIN;IND;PRS;V 2;FORM;MASC+FEM;NOM;PRO ADV _ PROPN ACT;FIN;IND;PRS;V DET;NEUT;SG ADV ADJ;INDF;NEUT;SG INDF;N;NEUT;SG _ ACT;FIN;IND;PRS;V 1;MASC+FEM;NOM;PRO;SG _
de tre første episoder foregår i forskellige perioder - henholdsvis 30erne , 60erne og i nutiden .	den tre første episode foregå i forskellig periode - henholdsvis 30er , 60er og i nutid .	DET;PL NUM ADJ INDF;MASC+FEM;N;PL ACT;FIN;IND;PRS;V ADP ADJ;PL INDF;MASC+FEM;N;PL _ ADV DEF;MASC+FEM;N;PL _ DEF;MASC+FEM;N;PL CONJ ADP DEF;MASC+FEM;N;SG _
hvis usa ville , kunne man sagtens have bombet det meste af byen i stykker . "	hvis usa ville , kunne man sagtens have bombe den meget af by i stykke . "	CONJ PROPN ACT;FIN;IND;PST;V _ ACT;FIN;IND;PST;V MASC+FEM;NOM;PRO ADV ACT;NFIN;V INDF;PST;SG;V;V.PTCP DET;NEUT;SG ADJ;DEF;RL;SG ADP DEF;MASC+FEM;N;SG ADP INDF;N;NEUT;PL _ _
ostehandleren synes , vi skal smage den raffinerede engelske cheddartype sage derby med salvie med marmorskæreflade til 14,85 kr. .	ostehandler synes , vi skulle smage den raffineret engelsk cheddartype sage derby med salvie med marmorskæreflade til 14,85 krone .	DEF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V _ 1;MASC+FEM;NOM;PL;PRO ACT;FIN;IND;PRS;V ACT;NFIN;V DET;MASC+FEM;SG ADJ;DEF;SG ADJ;DEF;SG INDF;MASC+FEM;N;SG PROPN PROPN ADP INDF;MASC+FEM;N;SG ADP INDF;MASC+FEM;N;SG ADP NUM INDF;MASC+FEM;N;PL _
" jeg ville skræmme hende , " forklarede den 19-årige i grundlovsforhøret .	" jeg ville skræmme hun , " forklare den 19-årig i grundlovsforhør .	_ 1;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PST;V ACT;NFIN;V 3;ACC;MASC+FEM;PRO;SG _ _ ACT;FIN;IND;PST;V DET;MASC+FEM;SG ADJ;DEF;SG ADP DEF;N;NEUT;SG _
hermed er vi så nået frem til dét , som sagen egentlig drejer sig om : en del abonnenter mener , at de bliver registreret for ydelser , de ikke har modtaget .	hermed være vi så nå frem til det , som sag egentlig dreje sig om : en del abonnent mene , at de blive registrere for ydelse , de ikke have modtage .	ADV ACT;FIN;IND;PRS;V 1;MASC+FEM;NOM;PL;PRO ADV INDF;PST;SG;V;V.PTCP ADV ADP 3;ACC;NEUT;PRO;SG _ ADP DEF;MASC+FEM;N;SG ADV ACT;FIN;IND;PRS;V 3;ACC;PRO;REFL ADP _ DET;MASC+FEM;SG INDF;MASC+FEM;N;SG INDF;MASC+FEM;N;PL ACT;FIN;IND;PRS;V _ CONJ 3;NOM;PL;PRO ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP ADP INDF;MASC+FEM;N;PL _ 3;NOM;PL;PRO ADV ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP _
" dobbeltjobbet er kommet frem i forbindelse med havarigruppens arbejde , men jeg vil gerne understrege , at havarigruppen ikke mener , at loko-førerens dobbeltbeskæftigelse har haft nogen som helst indflydelse på togkollisionen i næstved , " siger henrik nørgaard .	" dobbeltjob være komme frem i forbindelse med havarigruppe arbejde , men jeg ville gerne understrege , at havarigruppe ikke mene , at loko-fører dobbeltbeskæftigelse have have nogen som helst indflydelse på togkollision i næstved , " sige henrik nørgaard .	_ DEF;N;NEUT;SG ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP ADV ADP INDF;MASC+FEM;N;SG ADP DEF;GEN;MASC+FEM;N;SG INDF;N;NEUT;SG _ CONJ 1;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V ADV ACT;NFIN;V _ CONJ DEF;MASC+FEM;N;SG ADV ACT;FIN;IND;PRS;V _ CONJ DEF;GEN;MASC+FEM;N;SG INDF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP DET;MASC+FEM;SG ADP ADV INDF;MASC+FEM;N;SG ADP DEF;MASC+FEM;N;SG ADP PROPN _ _ ACT;FIN;IND;PRS;V PROPN PROPN _
til gengæld er hver centimeter udnyttet , så kunder kan få de varer , de skal bruge .	til gengæld være hver centimeter udnytte , så kunde kunne få den vare , de skulle bruge .	ADP INDF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V MASC+FEM;PRO;SG INDF;MASC+FEM;N;SG INDF;PST;SG;V;V.PTCP _ CONJ INDF;MASC+FEM;N;PL ACT;FIN;IND;PRS;V ACT;NFIN;V DET;PL INDF;MASC+FEM;N;PL _ 3;NOM;PL;PRO ACT;FIN;IND;PRS;V ACT;NFIN;V _
jeltsin erklærede også , at der ikke vil blive flere løgne , da han garanterede amerikanerne , at alle sten vil blive vendt for at finde sandheden om forsvundne krigsfanger i det sovjetiske gulag .	jeltsin erklære også , at der ikke ville blive mange løgn , da han garantere amerikaner , at al sten ville blive vende for at finde sandhed om forsvinde krigsfange i den sovjetisk gulag .	PROPN ACT;FIN;IND;PST;V ADV _ CONJ ADV ADV ACT;FIN;IND;PRS;V ACT;NFIN;V ADJ;CMPR;PL INDF;MASC+FEM;N;PL _ CONJ 3;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PST;V DEF;MASC+FEM;N;PL _ CONJ ADJ;PL INDF;MASC+FEM;N;PL ACT;FIN;IND;PRS;V ACT;NFIN;V INDF;PST;SG;V;V.PTCP ADP PART ACT;NFIN;V DEF;MASC+FEM;N;SG ADP PL;PST;V;V.PTCP INDF;MASC+FEM;N;PL ADP DET;NEUT;SG ADJ;DEF;SG INDF;N;NEUT;SG _
et ægteskab , for eksempel , hedder på pc : hjemme-fængsling , legaliseret voldtægt eller legaliseret prostitution .	en ægteskab , for eksempel , hedde på pc : hjemme-fængsling , legalisere voldtægt eller legalisere prostitution .	DET;NEUT;SG INDF;N;NEUT;SG _ ADP INDF;N;NEUT;SG _ ACT;FIN;IND;PRS;V ADP PROPN _ INDF;MASC+FEM;N;SG _ INDF;PST;SG;V;V.PTCP INDF;MASC+FEM;N;SG CONJ INDF;PST;SG;V;V.PTCP INDF;MASC+FEM;N;SG _
" lars kantede sig ind foran mig .	" lars kante sig ind foran jeg .	_ PROPN ACT;FIN;IND;PST;V 3;ACC;PRO;REFL ADV ADP 1;ACC;MASC+FEM;PRO;SG _
men injuriesager er åbenbare grænsetilfælde , og så kan der komme tvivlsproblemer .	men injuriesag være åbenbar grænsetilfælde , og så kunne der komme tvivlsproblem .	CONJ INDF;MASC+FEM;N;PL ACT;FIN;IND;PRS;V ADJ;PL INDF;N;NEUT;PL _ CONJ ADV ACT;FIN;IND;PRS;V ADV ACT;NFIN;V INDF;N;NEUT;PL _
han vil kun arbejde og have flere og flere ting .	han ville kun arbejde og have mange og mange ting .	3;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V ADV ACT;NFIN;V CONJ ACT;NFIN;V ADJ;CMPR;PL CONJ ADJ;CMPR;PL INDF;MASC+FEM;N;PL _
peter christoffersen vil ikke afvise , at det igen kommer til forhandling på en anden front , nemlig mellem baltica og hafnia om den store aktiepost , som hafnia har i baltica .	peter christoffersen ville ikke afvise , at det igen komme til forhandling på en anden front , nemlig mellem baltica og hafnia om den stor aktiepost , som hafnia have i baltica .	PROPN PROPN ACT;FIN;IND;PRS;V ADV ACT;NFIN;V _ CONJ 3;ACC;NEUT;PRO;SG ADV ACT;FIN;IND;PRS;V ADP INDF;MASC+FEM;N;SG ADP DET;MASC+FEM;SG DET;MASC+FEM;SG INDF;MASC+FEM;N;SG _ ADV ADP PROPN CONJ PROPN ADP DET;MASC+FEM;SG ADJ;DEF;SG INDF;MASC+FEM;N;SG _ PRO PROPN ACT;FIN;IND;PRS;V ADP PROPN _
- her går vi to mennesker midt om natten og undskylder os , som om det er hemmeligt og forbudt , det vi gør .	- her gå vi to menneske midt om nat og undskylde vi , som om det være hemmelig og forbudt , det vi gøre .	_ ADV ACT;FIN;IND;PRS;V 1;MASC+FEM;NOM;PL;PRO NUM INDF;N;NEUT;PL ADV ADP DEF;MASC+FEM;N;SG CONJ ACT;FIN;IND;PRS;V 1;ACC;MASC+FEM;PL;PRO _ ADV ADP 3;ACC;NEUT;PRO;SG ACT;FIN;IND;PRS;V ADJ;INDF;NEUT;SG CONJ ADJ;INDF;SG _ 3;ACC;NEUT;PRO;SG 1;MASC+FEM;NOM;PL;PRO ACT;FIN;IND;PRS;V _
ugens billigste middagsmad leverer skrubben - 25 kr. for fem små skrubber , nu uden rogn , og mængderabatten stiger , hvis de køber ind til fryseren .	uge billig middagsmad levere skrubbe - 25 krone for fem lille skrubbe , nu uden rogn , og mængderabat stige , hvis de købe ind til fryser .	DEF;GEN;MASC+FEM;N;SG ADJ;DEF;RL INDF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V DEF;MASC+FEM;N;SG _ NUM INDF;MASC+FEM;N;PL ADP NUM ADJ;PL INDF;MASC+FEM;N;PL _ ADV ADP INDF;MASC+FEM;N;SG _ CONJ DEF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V _ CONJ 2;FORM;MASC+FEM;NOM;PRO ACT;FIN;IND;PRS;V ADV ADP DEF;MASC+FEM;N;SG _
siden ungbo for tre uger siden gik konkurs med et underskud på 44,1 mill. kroner , er der næppe gået en dag uden nye belastende afsløringer af ungbos måde at drive almennyttig udlejningsvirksomhed på er dukket op .	siden ungbo for tre uge siden gå konkurs med en underskud på 44,1 million krone , være der næppe gå en dag uden ny belaste afsløring af ungbo måde at drive almennyttig udlejningsvirksomhed på være dukke op .	CONJ PROPN ADP NUM INDF;MASC+FEM;N;PL ADV ACT;FIN;IND;PST;V ADJ ADP DET;NEUT;SG INDF;N;NEUT;SG ADP NUM INDF;MASC+FEM;N;PL INDF;MASC+FEM;N;PL _ ACT;FIN;IND;PRS;V ADV ADV INDF;PST;SG;V;V.PTCP DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP ADJ;PL PRS;V;V.PTCP INDF;MASC+FEM;N;PL ADP GEN;PROPN INDF;MASC+FEM;N;SG PART ACT;NFIN;V ADJ;INDF;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP ADV _
- nu har flere af os været med siden starten for over to år siden .	- nu have mange af vi være med siden start for over to år siden .	_ ADV ACT;FIN;IND;PRS;V ADJ;CMPR;PL ADP 1;ACC;MASC+FEM;PL;PRO INDF;PST;SG;V;V.PTCP ADV ADP DEF;MASC+FEM;N;SG ADP ADP NUM INDF;N;NEUT;PL ADV _
parken har fejl og mangler , som fodbold-publikummet hverken kan eller vil leve med .	park have fejl og mangel , som fodbold-publikum hverken kunne eller ville leve med .	DEF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V INDF;MASC+FEM;N;PL CONJ INDF;MASC+FEM;N;PL _ ADP DEF;N;NEUT;SG ADV ACT;FIN;IND;PRS;V CONJ ACT;FIN;IND;PRS;V ACT;NFIN;V ADP _
den benytter flere ting for at orientere sig .	den benytte mange ting for at orientere sig .	3;ACC;MASC+FEM;PRO;SG ACT;FIN;IND;PRS;V ADJ;CMPR;PL INDF;MASC+FEM;N;PL ADP PART ACT;NFIN;V 3;ACC;PRO;REFL _
fedt .	fed .	ADJ;INDF;NEUT;SG _
artikel 3	artikel 3	INDF;MASC+FEM;N;SG NUM
den ligger lige ved den stenede strand og består af en fem meter dyb hule , hvor der er udgravet nogle hylder , som ifølge hummerfiskeren skulle være robinsons eget værk .	den ligge lige ved den stenet strand og bestå af en fem meter dyb hule , hvor der være udgrave nogen hylde , som ifølge hummerfisker skulle være robinson egen værk .	3;ACC;MASC+FEM;PRO;SG ACT;FIN;IND;PRS;V ADV ADP DET;MASC+FEM;SG ADJ;DEF;SG INDF;MASC+FEM;N;SG CONJ ACT;FIN;IND;PRS;V ADP DET;MASC+FEM;SG NUM INDF;MASC+FEM;N;PL ADJ;INDF;MASC+FEM;SG INDF;MASC+FEM;N;SG _ ADV ADV ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP DET;PL INDF;MASC+FEM;N;PL _ ADP ADP DEF;MASC+FEM;N;SG ACT;FIN;IND;PST;V ACT;NFIN;V GEN;PROPN ADJ;NEUT;SG INDF;N;NEUT;SG _
de hævder , at ruslands vej til demokrati går gennem diktatur .	de hævde , at rusland vej til demokrati gå gennem diktatur .	3;NOM;PL;PRO ACT;FIN;IND;PRS;V _ CONJ GEN;PROPN INDF;MASC+FEM;N;SG ADP INDF;N;NEUT;SG ACT;FIN;IND;PRS;V ADP INDF;N;NEUT;SG _
oplæser =	oplæser =	INDF;MASC+FEM;N;SG _
lad mig give dem et exempel : oversygeplejersken kommer ind .	lade jeg give de en exempel : oversygeplejerske komme ind .	IMP;V 1;ACC;MASC+FEM;PRO;SG ACT;NFIN;V 2;ACC;FORM;MASC+FEM;PRO NEUT;PRO;SG _ _ DEF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V ADV _
mad og anden hjælp strømmer nu til den bosniske hovedstad sarajevo .	mad og anden hjælp strømme nu til den bosnisk hovedstad sarajevo .	INDF;MASC+FEM;N;SG CONJ DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V ADV ADP DET;MASC+FEM;SG ADJ;DEF;SG INDF;MASC+FEM;N;SG PROPN _
her i byen er han i hvert fald ikke .	her i by være han i hver fald ikke .	ADV ADP DEF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V 3;MASC+FEM;NOM;PRO;SG ADP DET;MASC+FEM;SG INDF;N;NEUT;SG ADV _
men det er for kortsigtet , for når de ældre mangler hjælp , ryger de på hospitalet .	men det være for kortsigtet , for når den gammel mangle hjælp , ryge de på hospital .	CONJ 3;ACC;NEUT;PRO;SG ACT;FIN;IND;PRS;V ADV ADJ;INDF;SG _ CONJ CONJ DET;PL ADJ;CMPR ACT;FIN;IND;PRS;V INDF;MASC+FEM;N;SG _ ACT;FIN;IND;PRS;V 3;NOM;PL;PRO ADP DEF;N;NEUT;SG _
fysioterapi , der tilstræber at gøre den enkelte patient mest muligt uafhængig af andres hjælp , er en vigtig behandlingsform .	fysioterapi , der tilstræbe at gøre den enkelt patient mest muligt uafhængig af anden hjælp , være en vigtig behandlingsform .	INDF;MASC+FEM;N;SG _ PRO ACT;FIN;IND;PRS;V PART ACT;NFIN;V DET;MASC+FEM;SG ADJ;DEF;SG INDF;MASC+FEM;N;SG ADV;RL ADV ADJ;INDF;MASC+FEM;SG ADP DET;GEN;PL INDF;MASC+FEM;N;SG _ ACT;FIN;IND;PRS;V DET;MASC+FEM;SG ADJ;INDF;MASC+FEM;SG INDF;MASC+FEM;N;SG _
mens forsvarets øverste embedsmænd således fortsat opererer med et stort nationalt forsvar , så understreger udenrigsministeriets eksperter i den selvsamme rapport , at de sikkerhedspolitiske problemer i dag ligger et helt andet sted .	mens forsvar øvre embedsmand således fortsat operere med en stor national forsvar , så understrege udenrigsministerium ekspert i den selvsamme rapport , at den sikkerhedspolitisk problem i dag ligge en helt anden sted .	CONJ DEF;GEN;N;NEUT;SG ADJ;DEF;RL INDF;MASC+FEM;N;PL ADV ADV ACT;FIN;IND;PRS;V ADP DET;NEUT;SG ADJ;INDF;NEUT;SG ADJ;INDF;NEUT;SG INDF;N;NEUT;SG _ ADV ACT;FIN;IND;PRS;V DEF;GEN;N;NEUT;SG INDF;MASC+FEM;N;PL ADP MASC+FEM;PRO;SG _ INDF;MASC+FEM;N;SG _ CONJ DET;PL ADJ;PL INDF;N;NEUT;PL ADP INDF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V DET;NEUT;SG ADV DET;NEUT;SG INDF;N;NEUT;SG _
" jeg er klar over , at jeg har to kasketter og to regnestykker i den sag .	" jeg være klar over , at jeg have to kasket og to regnestykke i den sag .	_ 1;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V ADJ;INDF;MASC+FEM;SG ADP _ CONJ 1;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V NUM INDF;MASC+FEM;N;PL CONJ NUM INDF;N;NEUT;PL ADP DET;MASC+FEM;SG INDF;MASC+FEM;N;SG _
bassam på 35 bor sammen med sine ni børn og 18 overlevende familiemedlemmer .	bassam på 35 bo sammen med sin ni barn og 18 overleve familiemedlem .	PROPN ADP NUM ACT;FIN;IND;PRS;V ADV ADP 3;DET;PL;PSSS;REFL NUM INDF;N;NEUT;PL CONJ NUM PRS;V;V.PTCP INDF;N;NEUT;PL _
og de insisterer på at vende fødderne indad , som var de alle fejl-opereret på samme hospital .	og de insistere på at vende fod indad , som være de al fejl-operere på samme hospital .	CONJ 3;NOM;PL;PRO ACT;FIN;IND;PRS;V ADP PART ACT;NFIN;V DEF;MASC+FEM;N;PL ADV _ ADP ACT;FIN;IND;PST;V 3;NOM;PL;PRO ADJ;PL INDF;PST;SG;V;V.PTCP ADP ADJ INDF;N;NEUT;SG _
hardware uden interesse	hardware uden interesse	INDF;N;SG ADP INDF;MASC+FEM;N;SG
dernæst vil indenrigsministeriet , civilforsvarsstyrelsen og sundhedstyrelsen overveje om arbejdet skal føres videre med henblik på at få opbygget et lægemiddelberedskab , der tidsmæssigt rækker ud over de nævnte forudsætninger .	dernæst ville indenrigsministerium , civilforsvarsstyrelse og sundhedstyrelse overveje om arbejde skulle føre videre med henblik på at få opbygge en lægemiddelberedskab , der tidsmæssigt række ud over den nævne forudsætning .	ADV ACT;FIN;IND;PRS;V DEF;N;NEUT;SG _ DEF;MASC+FEM;N;SG CONJ DEF;MASC+FEM;N;SG ACT;NFIN;V CONJ DEF;N;NEUT;SG ACT;FIN;IND;PRS;V NFIN;PASS;V ADV ADP INDF;N;NEUT;SG ADP PART ACT;NFIN;V INDF;PST;SG;V;V.PTCP DET;NEUT;SG INDF;N;NEUT;SG _ PRO ADV ACT;FIN;IND;PRS;V ADV ADP DET;PL PL;PST;V;V.PTCP INDF;MASC+FEM;N;PL _
i morgen kommer der nogen sol - og det bliver tørvejr overalt .	i morgen komme der nogen sol - og det blive tørvejr overalt .	ADP INDF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V ADV DET;MASC+FEM;SG INDF;MASC+FEM;N;SG _ CONJ 3;ACC;NEUT;PRO;SG ACT;FIN;IND;PRS;V INDF;N;NEUT;SG ADV _
lige præcis sådan skulle det nu ikke forstås , men det forbløffede danske par skulle snart erfare , at der var noget om snakken .	lige præcis sådan skulle det nu ikke forstå , men den forbløffe dansk par skulle snart erfare , at der være nogen om snak .	ADV ADV ADV ACT;FIN;IND;PST;V 3;ACC;NEUT;PRO;SG ADV ADV NFIN;PASS;V _ CONJ DET;NEUT;SG DEF;PST;SG;V;V.PTCP ADJ;DEF;SG INDF;N;NEUT;SG ACT;FIN;IND;PST;V ADV ACT;NFIN;V _ CONJ ADV ACT;FIN;IND;PST;V NEUT;PRO;SG ADP DEF;MASC+FEM;N;SG _
imens vælter deres to teenagedøtre næsten hjemmet .	imens vælte deres to teenagedatter næsten hjem .	ADV ACT;FIN;IND;PRS;V 3;DET;PSSP NUM INDF;MASC+FEM;N;PL ADV DEF;N;NEUT;SG _
lentz lægger da heller ikke skjul på , at tiden fra maj sidste år og frem til januar i år har været endog særdeles svær .	lentz lægge da heller ikke skjul på , at tid fra maj sidste år og frem til januar i år have være endog særdeles svær .	PROPN ACT;FIN;IND;PRS;V ADV ADV ADV INDF;N;NEUT;SG ADP _ CONJ DEF;MASC+FEM;N;SG ADP INDF;MASC+FEM;N;SG ADJ INDF;N;NEUT;SG CONJ ADV ADP INDF;MASC+FEM;N;SG ADP INDF;N;NEUT;SG ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP ADV ADV ADJ;INDF;MASC+FEM;SG _
uden for teltet sidder en lille pige med et spædbarn på skødet .	uden for telt sidde en lille pige med en spædbarn på skød .	ADV ADP DEF;N;NEUT;SG ACT;FIN;IND;PRS;V DET;MASC+FEM;SG ADJ;SG INDF;MASC+FEM;N;SG ADP DET;NEUT;SG INDF;N;NEUT;SG ADP DEF;N;NEUT;SG _
han mente samtidig , at det nationale kompromis er gået for langt med at tilgodese nej-sigernes interesser , og at han fuldt havde opbakning fra vælgerne i sit bagland til at påpege dette .	han mene samtidig , at den national kompromis være gå for langt med at tilgodese nej-siger interesse , og at han fuldt have opbakning fra vælger i sin bagland til at påpege denne .	3;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PST;V ADV _ CONJ DET;NEUT;SG ADJ;DEF;SG INDF;N;NEUT;SG ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP ADV ADV ADP PART ACT;NFIN;V DEF;GEN;MASC+FEM;N;PL INDF;MASC+FEM;N;PL _ CONJ CONJ 3;MASC+FEM;NOM;PRO;SG ADV ACT;FIN;IND;PST;V INDF;MASC+FEM;N;SG ADP DEF;MASC+FEM;N;PL ADP 3;DET;NEUT;PSSS;REFL;SG INDF;N;NEUT;SG ADP PART ACT;NFIN;V NEUT;PRO;SG _
flertallet af dem var faglærte og ufaglærte arbejdere .	flertal af de være faglært og ufaglært arbejder .	DEF;N;NEUT;SG ADP 3;ACC;PL;PRO ACT;FIN;IND;PST;V ADJ;PL CONJ ADJ;PL INDF;MASC+FEM;N;PL _
historien om pios agitatorisk begavede , men organisatorisk helt amatøragtige fremfærd og justitsministerens kyniske udnyttelse af enhver chance til at knuse bevægelsen er en sørgelig historie , lige så kompromitterende for pio og navnlig for hans nærmeste , geleff og brix som for det danske politi og retsvæsen .	historie om pio agitatorisk begavet , men organisatorisk helt amatøragtig fremfærd og justitsminister kynisk udnyttelse af enhver chance til at knuse bevægelse være en sørgelig historie , lige så kompromittere for pio og navnlig for hans nær , geleff og brix som for den dansk politi og retsvæsen .	DEF;MASC+FEM;N;SG ADP GEN;PROPN ADV ADJ;DEF;SG _ CONJ ADV ADV ADJ;DEF;SG INDF;MASC+FEM;N;SG CONJ DEF;GEN;MASC+FEM;N;SG ADJ;DEF;SG INDF;MASC+FEM;N;SG ADP DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP PART ACT;NFIN;V DEF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V DET;MASC+FEM;SG ADJ;INDF;MASC+FEM;SG INDF;MASC+FEM;N;SG _ ADV ADV PRS;V;V.PTCP ADP PROPN CONJ ADV ADP 3;DET;PSSS ADJ;DEF;RL _ PROPN CONJ PROPN ADP ADP DET;NEUT;SG ADJ;DEF;SG INDF;N;NEUT;SG CONJ INDF;N;NEUT;SG _
heldigvis har jeg haft min træner , keld krogh , til at holde mig ved ilden , " siger brian lentz , der satser alt på at klare sig godt i cbc .	heldigvis have jeg have min træner , keld krogh , til at holde jeg ved ild , " sige brian lentz , der satse al på at klare sig godt i cbc .	ADV ACT;FIN;IND;PRS;V 1;MASC+FEM;NOM;PRO;SG INDF;PST;SG;V;V.PTCP 1;DET;MASC+FEM;PSSS;SG INDF;MASC+FEM;N;SG _ PROPN PROPN _ ADP PART ACT;NFIN;V 1;ACC;MASC+FEM;PRO;SG ADP DEF;MASC+FEM;N;SG _ _ ACT;FIN;IND;PRS;V PROPN PROPN _ PRO ACT;FIN;IND;PRS;V ADJ;NEUT;SG ADP PART ACT;NFIN;V 3;ACC;PRO;REFL ADV ADP PROPN _
det er glædeligt , siger annemette møller , som kalder hashen for fristadens " egentlige svøbe " .	det være glædelig , sige annemette møller , som kalde hash for fristad " egentlig svøbe " .	3;ACC;NEUT;PRO;SG ACT;FIN;IND;PRS;V ADJ;INDF;NEUT;SG _ ACT;FIN;IND;PRS;V PROPN PROPN _ PRO ACT;FIN;IND;PRS;V DEF;MASC+FEM;N;SG ADP DEF;GEN;MASC+FEM;N;SG _ ADJ;DEF;SG INDF;MASC+FEM;N;SG _ _
her er hun dansk koordinator for et kontaktnet af skoler over hele verden .	her være hun dansk koordinator for en kontaktnet af skole over hel verden .	ADV ACT;FIN;IND;PRS;V 3;MASC+FEM;NOM;PRO;SG ADJ;INDF;SG INDF;MASC+FEM;N;SG ADP DET;NEUT;SG INDF;N;NEUT;SG ADP INDF;MASC+FEM;N;PL ADP ADJ;DEF;SG INDF;MASC+FEM;N;SG _
hun tog den stærke efterspørgsel som tegn på , at der måtte være så stort et marked for krukkerne , at hun kunne etablere en engros-virksomhed .	hun tage den stærk efterspørgsel som tegn på , at der måtte være så stor en marked for krukke , at hun kunne etablere en engros-virksomhed .	3;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PST;V DET;MASC+FEM;SG ADJ;DEF;SG INDF;MASC+FEM;N;SG ADP INDF;N;NEUT;SG ADP _ CONJ ADV ACT;FIN;IND;PST;V ACT;NFIN;V ADV ADJ;INDF;NEUT;SG DET;NEUT;SG INDF;N;NEUT;SG ADP DEF;MASC+FEM;N;PL _ CONJ 3;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PST;V ACT;NFIN;V DET;MASC+FEM;SG INDF;MASC+FEM;N;SG _
