catherine of russia was also very satisfied .	catherine of russia be also very satisfied .	PROPN;SG ADP PROPN;SG 3;FIN;IND;PST;SG;V ADV ADV ADJ _
for the time being , the deal between aoun and hariri has brought the two enemy factions closer together .	for the time be , the deal between aoun and hariri have bring the two enemy faction closer together .	ADP DEF;DET N;SG V;V.MSDR _ DEF;DET N;SG ADP PROPN;SG CONJ PROPN;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP DEF;DET NUM N;SG N;PL ADV;CMPR ADV _
privately as well as publicly , springer vigorously pursued reconciliation with the jewish people and took many trips to israel .	privately as well as publicly , springer vigorously pursue reconciliation with the jewish people and take many trip to israel .	ADV ADV ADV ADP ADV _ PROPN;SG ADV FIN;IND;PST;V N;SG ADP DEF;DET ADJ N;PL CONJ FIN;IND;PST;V ADJ N;PL ADP PROPN;SG _
ford t was proclaimed as the most influential car of the 20th century in the international car of the century awards .	ford t be proclaim as the most influential car of the 20th century in the international car of the century award .	PROPN;SG PROPN;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP DEF;DET ADV ADJ N;SG ADP DEF;DET ADJ N;SG ADP DEF;DET ADJ N;SG ADP DEF;DET N;SG N;PL _
researchers have been investigating potential for male hormonal contraceptives for around 20 years .	researcher have be investigate potential for male hormonal contraceptive for around 20 year .	N;PL FIN;IND;PRS;V PST;V;V.PTCP PRS;V;V.PTCP N;SG ADP ADJ;SG ADJ N;PL ADP ADV NUM N;PL _
it serves as a local place of rest and relaxation for san franciscans .	it serve as a local place of rest and relaxation for san franciscans .	3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADP DET;INDF ADJ N;SG ADP N;SG CONJ N;SG ADP PROPN;SG PL;PROPN _
then there are the so - called true stories that get posted in a series of meaningful pictures with text running underneath .	then there be the so - called true story that get post in a series of meaningful picture with text run underneath .	ADV PRO FIN;IND;PRS;V DEF;DET ADV _ PST;V;V.PTCP ADJ N;PL PRO FIN;IND;PRS;V PST;V;V.PTCP ADP DET;INDF N;SG ADP ADJ N;PL ADP N;SG V;V.MSDR ADV _
indians arrived from canada , led by joseph brant ; they supported the british because the colonists were expropriating more and more of their lands .	indian arrive from canada , lead by joseph brant ; they support the british because the colonist be expropriate more and more of they land .	PL;PROPN FIN;IND;PST;V ADP PROPN;SG _ PST;V;V.PTCP ADP PROPN;SG PROPN;SG _ 3;NOM;PL;PRO FIN;IND;PST;V DEF;DET PROPN;SG CONJ DEF;DET N;PL FIN;IND;PST;V PRS;V;V.PTCP ADJ;CMPR CONJ ADJ;CMPR ADP 3;PL;PRO N;PL _
after these successes , he signed a contract with team telekom and moved in with his girlfriend in merdingen in südbaden , where he lived until 2002 .	after these success , he sign a contract with team telekom and move in with he girlfriend in merdingen in südbaden , where he live until 2002 .	ADP DET;PL N;PL _ 3;MASC;NOM;PRO;SG FIN;IND;PST;V DET;INDF N;SG ADP N;SG PROPN;SG CONJ FIN;IND;PST;V ADV ADP 3;MASC;PRO;SG N;SG ADP PROPN;SG ADP PROPN;SG _ ADV 3;MASC;NOM;PRO;SG FIN;IND;PST;V ADP NUM _
during the post - classic period in yucatán a third system was in use .	during the post - classic period in yucatán a third system be in use .	ADP DEF;DET N;SG _ ADJ N;SG ADP PROPN;SG DET;INDF ADJ N;SG 3;FIN;IND;PST;SG;V ADP N;SG _
for now , analysts are hesitant to write off the service for dead .	for now , analyst be hesitant to write off the service for dead .	ADP ADV _ N;PL FIN;IND;PRS;V ADJ PART NFIN;V ADP DEF;DET N;SG ADP ADJ _
thai birth certificates record the date , month and time of birth , followed by the day of the week , lunar date , and the applicable zodiac animal name .	thai birth certificate record the date , month and time of birth , follow by the day of the week , lunar date , and the applicable zodiac animal name .	ADJ N;SG N;PL FIN;IND;PRS;V DEF;DET N;SG _ N;SG CONJ N;SG ADP N;SG _ PST;V;V.PTCP ADP DEF;DET N;SG ADP DEF;DET N;SG _ ADJ N;SG _ CONJ DEF;DET ADJ N;SG N;SG N;SG _
sulphur is a key plant nutrient vital to healthy growth , but uk soils are naturally deficient in this essential mineral .	sulphur be a key plant nutrient vital to healthy growth , but uk soil be naturally deficient in this essential mineral .	N;SG 3;FIN;IND;PRS;SG;V DET;INDF ADJ N;SG N;SG ADJ ADP ADJ N;SG _ CONJ PROPN;SG N;PL FIN;IND;PRS;V ADV ADJ ADP DET;SG ADJ N;SG _
in april 2012 , the turkish minister president erdogan announced his government 's plans to free bosphorus by building the istanbul canal parallel to it .	in april 2012 , the turkish minister president erdogan announce he government 's plan to free bosphorus by build the istanbul canal parallel to it .	ADP PROPN;SG NUM _ DEF;DET ADJ N;SG PROPN;SG PROPN;SG FIN;IND;PST;V 3;MASC;PRO;SG N;SG PART N;PL PART NFIN;V PROPN;SG CONJ V;V.MSDR DEF;DET PROPN;SG PROPN;SG ADJ ADP 3;NEUT;NOM;PRO;SG _
and they must be greeted with an open spirit and clear mind because they form the new generation of beauty and hope .	and they must be greet with a open spirit and clear mind because they form the new generation of beauty and hope .	CONJ 3;NOM;PL;PRO FIN;V NFIN;V PST;V;V.PTCP ADP DET;INDF ADJ N;SG CONJ ADJ N;SG CONJ 3;NOM;PL;PRO FIN;IND;PRS;V DEF;DET ADJ N;SG ADP N;SG CONJ N;SG _
habitat destruction vastly increases an area 's vulnerability to natural disasters like flood and drought , crop failure , spread of disease , and water contamination .	habitat destruction vastly increase a area 's vulnerability to natural disaster like flood and drought , crop failure , spread of disease , and water contamination .	N;SG N;SG ADV 3;FIN;IND;PRS;SG;V DET;INDF N;SG PART N;SG ADP ADJ N;PL ADP N;SG CONJ N;SG _ N;SG N;SG _ N;SG ADP N;SG _ CONJ N;SG N;SG _
cultic remains discovered at the site were a row of ten large standing stones , known as massebot , oriented north - south , the tallest of which was 3 meters high , with an altar - type structure in the middle , and a large , square , stone basin .	cultic remains discover at the site be a row of ten large standing stone , know as massebot , orient north - south , the tallest of which be 3 meter high , with a altar - type structure in the middle , and a large , square , stone basin .	ADJ N;PL PST;V;V.PTCP ADP DEF;DET N;SG FIN;IND;PST;V DET;INDF N;SG ADP NUM ADJ ADJ N;PL _ PST;V;V.PTCP ADP N;PL _ PST;V;V.PTCP ADV _ ADV _ DEF;DET ADJ;RL ADP PRO 3;FIN;IND;PST;SG;V NUM N;PL ADJ _ ADP DET;INDF N;SG _ N;SG N;SG ADP DEF;DET N;SG _ CONJ DET;INDF ADJ _ ADJ _ N;SG N;SG _
from the director 's point of view , the film is a precarious balancing act , between cheery family hijinks and hard - hitting social drama .	from the director 's point of view , the film be a precarious balancing act , between cheery family hijinks and hard - hitting social drama .	ADP DEF;DET N;SG PART N;SG ADP N;SG _ DEF;DET N;SG 3;FIN;IND;PRS;SG;V DET;INDF ADJ N;SG N;SG _ ADP ADJ N;SG N;SG CONJ ADV _ V;V.MSDR ADJ N;SG _
“ we face a lot of competition , and we think transit can help , ” said joe sternlieb , president of the georgetown bid .	“ we face a lot of competition , and we think transit can help , ” say joe sternlieb , president of the georgetown bid .	_ 1;NOM;PL;PRO FIN;IND;PRS;V DET;INDF N;SG ADP N;SG _ CONJ 1;NOM;PL;PRO FIN;IND;PRS;V N;SG FIN;V NFIN;V _ _ FIN;IND;PST;V PROPN;SG PROPN;SG _ N;SG ADP DEF;DET PROPN;SG PROPN;SG _
the hymn was well received and the audience demanded an encore .	the hymn be well receive and the audience demand a encore .	DEF;DET N;SG 3;FIN;IND;PST;SG;V ADV PST;V;V.PTCP CONJ DEF;DET N;SG FIN;IND;PST;V DET;INDF N;SG _
amazon has become the fourth american company with the largest market capitalisation , surpassing exxonmobil .	amazon have become the fourth american company with the largest market capitalisation , surpass exxonmobil .	PROPN;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP DEF;DET ADJ ADJ N;SG ADP DEF;DET ADJ;RL N;SG N;SG _ V;V.MSDR PROPN;SG _
she next faced defending champion and top seed sara errani , but was defeated .	she next face defend champion and top seed sara errani , but be defeat .	3;FEM;NOM;PRO;SG ADV FIN;IND;PST;V V;V.MSDR N;SG CONJ ADJ N;SG PROPN;SG PROPN;SG _ CONJ 3;FIN;IND;PST;SG;V PST;V;V.PTCP _
john of gaunt died in 1399 .	john of gaunt die in 1399 .	PROPN;SG ADP PROPN;SG FIN;IND;PST;V ADP NUM _
a harley - davidson spokeswoman said timelines that have been floated in the media -- 2017 or 2020 -- are n't accurate .	a harley - davidson spokeswoman say timeline that have be float in the media -- 2017 or 2020 -- be not accurate .	DET;INDF PROPN;SG _ PROPN;SG N;SG FIN;IND;PST;V N;PL PRO FIN;IND;PRS;V PST;V;V.PTCP PST;V;V.PTCP ADP DEF;DET N;SG _ NUM CONJ NUM _ FIN;IND;PRS;V NEG;PART ADJ _
or is it an expensive standard or prepayment tariff ?	or be it a expensive standard or prepayment tariff ?	CONJ 3;FIN;IND;PRS;SG;V 3;NEUT;NOM;PRO;SG DET;INDF ADJ N;SG CONJ N;SG N;SG _
bogd khaan said that both mongolia and china had been administered by the manchu during the qing , and after the fall of the qing dynasty in 1911 , the contract of mongolian submission to the manchu had become invalid .	bogd khaan say that both mongolia and china have be administer by the manchu during the qing , and after the fall of the qing dynasty in 1911 , the contract of mongolian submission to the manchu have become invalid .	PROPN;SG PROPN;SG FIN;IND;PST;V CONJ CONJ PROPN;SG CONJ PROPN;SG FIN;IND;PST;V PST;V;V.PTCP PST;V;V.PTCP ADP DEF;DET PROPN;SG ADP DEF;DET PROPN;SG _ CONJ ADP DEF;DET N;SG ADP DEF;DET PROPN;SG N;SG ADP NUM _ DEF;DET N;SG ADP ADJ N;SG ADP DEF;DET PROPN;SG FIN;IND;PST;V PST;V;V.PTCP ADJ _
in later ages playwrights , historians , and other intellectuals would create works inspired by the trojan war .	in later age playwright , historian , and other intellectual would create work inspire by the trojan war .	ADP ADJ;CMPR N;PL N;PL _ N;PL _ CONJ ADJ N;PL FIN;V NFIN;V N;PL PST;V;V.PTCP ADP DEF;DET PROPN;SG N;SG _
she spoke to cnn style about the experience .	she speak to cnn style about the experience .	3;FEM;NOM;PRO;SG FIN;IND;PST;V ADP PROPN;SG PROPN;SG ADP DEF;DET N;SG _
and , of course , there 's bob , a constant source of entertainment .	and , of course , there be bob , a constant source of entertainment .	CONJ _ ADP N;SG _ PRO 3;FIN;IND;PRS;SG;V PROPN;SG _ DET;INDF ADJ N;SG ADP N;SG _
we will evaluate whether and how to continue onto the next section .	we will evaluate whether and how to continue onto the next section .	1;NOM;PL;PRO FIN;V NFIN;V CONJ CONJ ADV PART NFIN;V ADP DEF;DET ADJ N;SG _
the law delineates a number of conditions whose fulfillment could bring the agreement back into effect : the usa would have to withdraw all of its troops from countries who joined nato after 2000 , rescind all of the sanctions against russia as well as reimburse the costs that have been incurred as a result of the sanctions .	the law delineate a number of condition whose fulfillment could bring the agreement back into effect : the usa would have to withdraw all of its troops from country who join nato after 2000 , rescind all of the sanction against russia as well as reimburse the cost that have be incur as a result of the sanction .	DEF;DET N;SG 3;FIN;IND;PRS;SG;V DET;INDF N;SG ADP N;PL PRO N;SG FIN;V NFIN;V DEF;DET N;SG ADV ADP N;SG _ DEF;DET PROPN;SG FIN;V NFIN;V PART NFIN;V DET ADP 3;NEUT;PRO;SG N;PL ADP N;PL PRO FIN;IND;PST;V PROPN;SG ADP NUM _ NFIN;V DET ADP DEF;DET N;PL ADP PROPN;SG ADV ADV ADP NFIN;V DEF;DET N;PL PRO FIN;IND;PRS;V PST;V;V.PTCP PST;V;V.PTCP ADP DET;INDF N;SG ADP DEF;DET N;PL _
i was just a boy with muddy shoes .	i be just a boy with muddy shoe .	1;NOM;PRO;SG 3;FIN;IND;PST;SG;V ADV DET;INDF N;SG ADP ADJ N;PL _
but , as the criticism of clinton as first lady became more caustic , karel became more empathetic .	but , as the criticism of clinton as first lady become more caustic , karel become more empathetic .	CONJ _ CONJ DEF;DET N;SG ADP PROPN;SG ADP ADJ N;SG FIN;IND;PST;V ADV ADJ _ PROPN;SG FIN;IND;PST;V ADV ADJ _
higher male secondary school enrollment , per capita income and economic growth rate all had significant effects on reducing the chance of civil war .	higher male secondary school enrollment , per capita income and economic growth rate all have significant effect on reduce the chance of civil war .	ADJ ADJ ADJ N;SG N;SG _ ADP N;SG N;SG CONJ ADJ N;SG N;SG DET FIN;IND;PST;V ADJ N;PL CONJ V;V.MSDR DEF;DET N;SG ADP ADJ N;SG _
“ i loved the tropical colours , ” he says .	“ i love the tropical colour , ” he say .	_ 1;NOM;PRO;SG FIN;IND;PST;V DEF;DET ADJ N;PL _ _ 3;MASC;NOM;PRO;SG 3;FIN;IND;PRS;SG;V _
two years later , jutting , now 31 , is on trial at hong kong 's high court , charged with two counts of murder and one of preventing lawful burial .	two year later , jutting , now 31 , be on trial at hong kong 's high court , charge with two count of murder and one of prevent lawful burial .	NUM N;PL ADV _ PROPN;SG _ ADV NUM _ 3;FIN;IND;PRS;SG;V ADP N;SG ADP PROPN;SG PROPN;SG PART ADJ N;SG _ PST;V;V.PTCP ADP NUM N;PL ADP N;SG CONJ NUM CONJ V;V.MSDR ADJ N;SG _
it 's like a super power sometimes .	it be like a super power sometimes .	3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADP DET;INDF ADJ N;SG ADV _
$ 5,000 per person , the maximum allowed .	$ 5,000 per person , the maximum allow .	_ NUM ADP N;SG _ DEF;DET N;SG PST;V;V.PTCP _
u.s. stock futures are surging by more than 1 % , alongside european markets .	u.s. stock future be surge by more than 1 % , alongside european market .	PROPN;SG N;SG N;PL FIN;IND;PRS;V PRS;V;V.PTCP ADP ADJ;CMPR ADP NUM SG _ ADP ADJ N;PL _
the offensive against the huge army enlisted by venice was launched from france .	the offensive against the huge army enlist by venice be launch from france .	DEF;DET N;SG ADP DEF;DET ADJ N;SG PST;V;V.PTCP ADP PROPN;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP PROPN;SG _
like fjords , freshwater lakes are often deep .	like fjord , freshwater lake be often deep .	ADP N;PL _ N;SG N;PL FIN;IND;PRS;V ADV ADJ _
a variety of germanic and major slavic tribes crossed through moravia during the migration period before slavs established themselves in the 6th century ad .	a variety of germanic and major slavic tribe cross through moravia during the migration period before slavs establish themselves in the 6th century ad .	DET;INDF N;SG ADP ADJ CONJ ADJ ADJ N;PL FIN;IND;PST;V ADP PROPN;SG ADP DEF;DET N;SG PROPN;SG CONJ PL;PROPN FIN;IND;PST;V 3;ACC;PL;PRO;REFL ADP DEF;DET ADJ N;SG N;SG _
after i discovered a rich seam of internet discussion on the subject , my list had grown inordinately long and covered almost every state in the union .	after i discover a rich seam of internet discussion on the subject , my list have grow inordinately long and cover almost every state in the union .	CONJ 1;NOM;PRO;SG FIN;IND;PST;V DET;INDF ADJ N;SG ADP N;SG N;SG ADP DEF;DET N;SG _ 1;PRO;SG N;SG FIN;IND;PST;V PST;V;V.PTCP ADV ADJ CONJ FIN;IND;PST;V ADV DET N;SG ADP DEF;DET N;SG _
king salaman replaced the political veteran with the head of financial oversight , mohammed al - jadaan .	king salaman replace the political veteran with the head of financial oversight , mohammed al - jadaan .	PROPN;SG PROPN;SG FIN;IND;PST;V DEF;DET ADJ N;SG ADP DEF;DET N;SG ADP ADJ N;SG _ PROPN;SG PROPN;SG _ PROPN;SG _
he also pointed out that rogers recently introduced a new app tool that helps customers monitor their data usage .	he also point out that rogers recently introduce a new app tool that help customer monitor they data usage .	3;MASC;NOM;PRO;SG ADV FIN;IND;PST;V ADP CONJ PROPN;SG ADV FIN;IND;PST;V DET;INDF ADJ N;SG N;SG PRO 3;FIN;IND;PRS;SG;V N;PL NFIN;V 3;PL;PRO N;SG N;SG _
in 1072 , shen was sent to supervise wang 's program of surveying the building of silt deposits in the bian canal outside the capital city .	in 1072 , shen be send to supervise wang 's program of survey the building of silt deposit in the bian canal outside the capital city .	ADP NUM _ PROPN;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP PART NFIN;V PROPN;SG PART N;SG CONJ V;V.MSDR DEF;DET N;SG ADP N;SG N;PL ADP DEF;DET PROPN;SG PROPN;SG ADP DEF;DET N;SG N;SG _
trudeau will extend that invitation to the 45th president of the united states , whoever he or she may be .	trudeau will extend that invitation to the 45th president of the united state , whoever he or she may be .	PROPN;SG FIN;V NFIN;V DET;SG N;SG ADP DEF;DET ADJ N;SG ADP DEF;DET ADJ N;PL _ PRO 3;MASC;NOM;PRO;SG CONJ 3;FEM;NOM;PRO;SG FIN;V NFIN;V _
her reason is that it provides insufficient protection to american workers whose jobs and living standards it might harm .	she reason be that it provide insufficient protection to american worker whose job and living standard it might harm .	3;FEM;PRO;SG N;SG 3;FIN;IND;PRS;SG;V CONJ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADJ N;SG ADP ADJ N;PL PRO N;PL CONJ N;SG N;PL 3;NEUT;NOM;PRO;SG FIN;V NFIN;V _
forts were also built in the older portions of new france that had not yet been settled .	fort be also build in the older portion of new france that have not yet be settle .	N;PL FIN;IND;PST;V ADV PST;V;V.PTCP ADP DEF;DET ADJ;CMPR N;PL ADP PROPN;SG PROPN;SG PRO FIN;IND;PST;V NEG;PART ADV PST;V;V.PTCP PST;V;V.PTCP _
and what about the parties in what , in historical rights ?	and what about the party in what , in historical rights ?	CONJ PRO ADP DEF;DET N;PL ADP PRO _ ADP ADJ N;PL _
the two organisations launched an appeal which was thrown out by the court of cassation on the 12th of october .	the two organisation launch a appeal which be throw out by the court of cassation on the 12th of october .	DEF;DET NUM N;PL FIN;IND;PST;V DET;INDF N;SG PRO 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADV ADP DEF;DET N;SG ADP N;SG ADP DEF;DET N;SG ADP PROPN;SG _
that ’s just legitimately horrendous .	that ’s just legitimately horrendous .	PRO;SG 3;FIN;IND;PRS;SG;V ADV ADV ADJ _
meanwhile , his place in tribune was occupied by marco antonio , who held the position until december .	meanwhile , he place in tribune be occupy by marco antonio , who hold the position until december .	ADV _ 3;MASC;PRO;SG N;SG ADP N;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP PROPN;SG PROPN;SG _ PRO FIN;IND;PST;V DEF;DET N;SG ADP PROPN;SG _
pompey took command of two legions in capua and began to raise levies illegally , an act that , as was predictable , took advantage of the caesarians who were in his favor .	pompey take command of two legion in capua and begin to raise levy illegally , a act that , as be predictable , take advantage of the caesarians who be in he favor .	PROPN;SG FIN;IND;PST;V N;SG ADP NUM N;PL ADP PROPN;SG CONJ FIN;IND;PST;V PART NFIN;V N;PL ADV _ DET;INDF N;SG PRO _ CONJ 3;FIN;IND;PST;SG;V ADJ _ FIN;IND;PST;V N;SG ADP DEF;DET PL;PROPN PRO FIN;IND;PST;V ADP 3;MASC;PRO;SG N;SG _
but big reductions have also been pencilled in for cod , sole , plaice , megrim and pollack in the celtic and irish seas .	but big reduction have also be pencil in for cod , sole , plaice , megrim and pollack in the celtic and irish seas .	CONJ ADJ N;PL FIN;IND;PRS;V ADV PST;V;V.PTCP PST;V;V.PTCP ADP ADP N;SG _ N;SG _ N;SG _ N;SG CONJ N;SG ADP DEF;DET PROPN;SG CONJ PROPN;SG N;SG _
both the time and the sequence of events of this incident were vigorously discussed .	both the time and the sequence of event of this incident be vigorously discuss .	CONJ DEF;DET N;SG CONJ DEF;DET N;SG ADP N;PL ADP DET;SG N;SG FIN;IND;PST;V ADV PST;V;V.PTCP _
the second apulian and calabrian royal region was then established , also including samnium , parts of molise and the oriental basilicata .	the second apulian and calabrian royal region be then establish , also include samnium , part of molise and the oriental basilicata .	DEF;DET ADJ PROPN;SG CONJ PROPN;SG PROPN;SG PROPN;SG 3;FIN;IND;PST;SG;V ADV PST;V;V.PTCP _ ADV V;V.MSDR PROPN;SG _ N;PL ADP PROPN;SG CONJ DEF;DET ADJ PROPN;SG _
despite the release of a photo this morning , police in b.c. say they have more questions than answers about an apparently homeless man charged in the fatal stabbing of a teen girl at her abbotsford high school .	despite the release of a photo this morning , police in b.c. say they have more question than answer about a apparently homeless man charge in the fatal stabbing of a teen girl at she abbotsford high school .	ADP DEF;DET N;SG ADP DET;INDF N;SG DET;SG N;SG _ N;PL ADP PROPN;SG FIN;IND;PRS;V 3;NOM;PL;PRO FIN;IND;PRS;V ADJ;CMPR N;PL ADP N;PL ADP DET;INDF ADV ADJ N;SG PST;V;V.PTCP ADP DEF;DET ADJ N;SG ADP DET;INDF N;SG N;SG ADP 3;FEM;PRO;SG PROPN;SG ADJ N;SG _
this city - state emerged in the same period as sukhothai .	this city - state emerge in the same period as sukhothai .	DET;SG N;SG _ N;SG FIN;IND;PST;V ADP DEF;DET ADJ N;SG ADP PROPN;SG _
the origin of the word hispania is much disputed and the evidence for the various speculations are based merely upon what are at best mere resemblances , likely to be accidental , and suspect supporting evidence .	the origin of the word hispania be much dispute and the evidence for the various speculation be base merely upon what be at best mere resemblance , likely to be accidental , and suspect support evidence .	DEF;DET N;SG ADP DEF;DET N;SG PROPN;SG 3;FIN;IND;PRS;SG;V ADV PST;V;V.PTCP CONJ DEF;DET N;SG ADP DEF;DET ADJ N;PL FIN;IND;PRS;V PST;V;V.PTCP ADV ADP PRO FIN;IND;PRS;V ADV ADV;RL ADJ N;PL _ ADJ PART NFIN;V ADJ _ CONJ ADJ V;V.MSDR N;SG _
it has been emphasised that we absolutely can not continue with those who are completely against italy .	it have be emphasise that we absolutely can not continue with those who be completely against italy .	3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP PST;V;V.PTCP CONJ 1;NOM;PL;PRO ADV FIN;V NEG;PART NFIN;V ADP PL;PRO PRO FIN;IND;PRS;V ADV ADP PROPN;SG _
that 3 % rate also applies to nectar cardholders looking to borrow from £ 15,001 - £ 19,999 over a period of between two and three years .	that 3 % rate also apply to nectar cardholder look to borrow from £ 15,001 - £ 19,999 over a period of between two and three year .	DET;SG NUM SG N;SG ADV 3;FIN;IND;PRS;SG;V ADP PROPN;SG N;PL V;V.MSDR PART NFIN;V ADP _ NUM _ _ NUM ADP DET;INDF N;SG ADP ADP NUM CONJ NUM N;PL _
golden age spanish or early modern spanish is the variant of the language that constitutes the transition from medieval spanish to modern spanish .	golden age spanish or early modern spanish be the variant of the language that constitute the transition from medieval spanish to modern spanish .	ADJ N;SG PROPN;SG CONJ ADJ ADJ PROPN;SG 3;FIN;IND;PRS;SG;V DEF;DET N;SG ADP DEF;DET N;SG PRO 3;FIN;IND;PRS;SG;V DEF;DET N;SG ADP ADJ PROPN;SG ADP ADJ PROPN;SG _
stephen wheeler , the editor , worked kipling hard , but kipling 's need to write was unstoppable .	stephen wheeler , the editor , work kipling hard , but kipling 's need to write be unstoppable .	PROPN;SG PROPN;SG _ DEF;DET N;SG _ FIN;IND;PST;V PROPN;SG ADV _ CONJ PROPN;SG PART N;SG PART NFIN;V 3;FIN;IND;PST;SG;V ADJ _
several analysts have suggested huawei is best placed to benefit from samsung 's setback .	several analyst have suggest huawei be best place to benefit from samsung 's setback .	ADJ N;PL FIN;IND;PRS;V PST;V;V.PTCP PROPN;SG 3;FIN;IND;PRS;SG;V ADV;RL PST;V;V.PTCP PART NFIN;V ADP PROPN;SG PART N;SG _
he 'd also like to see greater enforcement and investigative powers for the real estate council of ontario ( reco ) , which regulates agents in the province .	he would also like to see greater enforcement and investigative power for the real estate council of ontario ( reco ) , which regulate agent in the province .	3;MASC;NOM;PRO;SG FIN;V ADV NFIN;V PART NFIN;V ADJ;CMPR N;SG CONJ ADJ N;PL ADP DEF;DET ADJ N;SG N;SG ADP PROPN;SG _ PROPN;SG _ _ PRO 3;FIN;IND;PRS;SG;V N;PL ADP DEF;DET N;SG _
students like rai have been meeting with counsellors at the school to talk about what happened , but she said the biggest comfort has come from seeing her friends .	student like rai have be meet with counsellor at the school to talk about what happen , but she say the biggest comfort have come from see she friend .	N;PL ADP PROPN;SG FIN;IND;PRS;V PST;V;V.PTCP PRS;V;V.PTCP ADP N;PL ADP DEF;DET N;SG PART NFIN;V CONJ PRO FIN;IND;PST;V _ CONJ 3;FEM;NOM;PRO;SG FIN;IND;PST;V DEF;DET ADJ;RL N;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP CONJ V;V.MSDR 3;FEM;PRO;SG N;PL _
having always been close to the catholic union , tina anselmi attended particularly to the rights of textile workers and teachers .	have always be close to the catholic union , tina anselmi attend particularly to the rights of textile worker and teacher .	V;V.MSDR ADV PST;V;V.PTCP ADV ADP DEF;DET PROPN;SG PROPN;SG _ PROPN;SG PROPN;SG FIN;IND;PST;V ADV ADP DEF;DET N;PL ADP N;SG N;PL CONJ N;PL _
he added : " this has been one step in a long journey of finding the right combination for male hormonal contraception . "	he add : " this have be one step in a long journey of find the right combination for male hormonal contraception . "	3;MASC;NOM;PRO;SG FIN;IND;PST;V _ _ PRO;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP NUM N;SG ADP DET;INDF ADJ N;SG CONJ V;V.MSDR DEF;DET ADJ N;SG ADP ADJ ADJ N;SG _ _
the greater part of the danube delta lies in romania ( tulcea county ) , while its northern part , on the left bank of the chilia arm , is situated in ukraine ( odessa oblast ) .	the greater part of the danube delta lie in romania ( tulcea county ) , while its northern part , on the left bank of the chilia arm , be situate in ukraine ( odessa oblast ) .	DEF;DET ADJ;CMPR N;SG ADP DEF;DET PROPN;SG N;SG 3;FIN;IND;PRS;SG;V ADP PROPN;SG _ PROPN;SG N;SG _ _ CONJ 3;NEUT;PRO;SG ADJ N;SG _ ADP DEF;DET ADJ N;SG ADP DEF;DET PROPN;SG N;SG _ 3;FIN;IND;PRS;SG;V PST;V;V.PTCP ADP PROPN;SG _ PROPN;SG PROPN;SG _ _
christopher columbus sailed across the atlantic ocean to the west indies in 1492 , sparking a period of european exploration of the americas .	christopher columbus sail across the atlantic ocean to the west indies in 1492 , spark a period of european exploration of the americas .	PROPN;SG PROPN;SG FIN;IND;PST;V ADP DEF;DET ADJ PROPN;SG ADP DEF;DET PROPN;SG PROPN;SG ADP NUM _ V;V.MSDR DET;INDF N;SG ADP ADJ N;SG ADP DEF;DET PL;PROPN _
“ when i ’m playing him , i feel powerful , ” the donald trump impersonator john di domenico explained to slate last year .	“ when i ’m play he , i feel powerful , ” the donald trump impersonator john di domenico explain to slate last year .	_ ADV 1;NOM;PRO;SG FIN;IND;PRS;V V;V.MSDR 3;ACC;MASC;PRO;SG _ 1;NOM;PRO;SG FIN;IND;PRS;V ADJ _ _ DEF;DET PROPN;SG PROPN;SG N;SG PROPN;SG PROPN;SG PROPN;SG FIN;IND;PST;V ADP PROPN;SG ADJ N;SG _
for the first time in the last six years the rate of unemployment has dropped below 20 % , and there are already 600,000 more people employed than there were a year ago .	for the first time in the last six year the rate of unemployment have drop below 20 % , and there be already 600,000 more people employ than there be a year ago .	ADP DEF;DET ADJ N;SG ADP DEF;DET ADJ NUM N;PL DEF;DET N;SG ADP N;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP ADP NUM SG _ CONJ PRO FIN;IND;PRS;V ADV NUM ADJ;CMPR N;PL PST;V;V.PTCP CONJ PRO FIN;IND;PST;V DET;INDF N;SG ADV _
humans also lose direct uses of natural habitat when habitat is destroyed .	human also lose direct use of natural habitat when habitat be destroy .	N;PL ADV FIN;IND;PRS;V ADJ N;PL ADP ADJ N;SG ADV N;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP _
